"","admin_name","ipum1991","upaz1991","parent","area91","A","admin_name.1","ipum2001","upaz2001","parent.1","area01","B","A_intersect_B","A_intersect_B_perimeter","A_union_B","metric_1","metric_2","metric_3","metric_4","metric_5","pair","ipum2011","upaz2011","area11"
"350...61","rajasthali","020084078","208478","020084",287175974.373021,287175974.373021,"bandarban sadar","020003014","200314","020003",473870311.070984,473870311.070984,8.45573958940804e-06,66651968.6369127,761046285.443996,8.45573958940804e-06,1.11106771705415e-14,2.94444533804372e-14,1.7843995270135e-14,1.26864063617847e-13,"91_01",NA,NA,NA
"8.1...62","alikadam","020003004","200304","020003",660695114.24117,660695114.24117,"lama","020003051","200351","020003",924215518.912131,924215518.912131,0,0,1584910633.1533,0,0,0,0,NA,"91_01",NA,NA,NA
"9.1...63","bandarban sadar","020003014","200314","020003",473870311.070984,473870311.070984,"lama","020003051","200351","020003",924215518.912131,924215518.912131,0,0,1398085829.98311,0,0,0,0,NA,"91_01",NA,NA,NA
"10.2...64","lama","020003051","200351","020003",924215518.912131,924215518.912131,"lama","020003051","200351","020003",924215518.912131,924215518.912131,924215518.912134,43616754575.11,924215518.912127,924215518.912134,1.00000000000001,1,1,0.0211894609746948,"91_01",NA,NA,NA
"11.1...65","naikhongchhari","020003073","200373","020003",491474332.985127,491474332.985127,"lama","020003051","200351","020003",924215518.912131,924215518.912131,0,0,1415689851.89726,0,0,0,0,NA,"91_01",NA,NA,NA
"13.1...66","ruma","020003091","200391","020003",649584790.909168,649584790.909168,"lama","020003051","200351","020003",924215518.912131,924215518.912131,0,0,1573800309.8213,0,0,0,0,NA,"91_01",NA,NA,NA
"14.1...67","thanchi","020003095","200395","020003",963960462.885549,963960462.885549,"lama","020003051","200351","020003",924215518.912131,924215518.912131,0,0,1888175981.79768,0,0,0,0,NA,"91_01",NA,NA,NA
"66.1...68","lohagara","020015047","201547","020015",232290284.890819,232290284.890819,"lama","020003051","200351","020003",924215518.912131,924215518.912131,0,0,1156505803.80295,0,0,0,0,NA,"91_01",NA,NA,NA
"88...69","chakaria","020022016","202216","020022",661498472.472226,661498472.472226,"lama","020003051","200351","020003",924215518.912131,924215518.912131,0.000475234959575641,10336606915.7161,1585713991.38388,0.000475234959575641,2.99697777882942e-13,7.18421854852573e-13,5.14203613606301e-13,4.59759148674871e-14,"91_01",NA,NA,NA
"8.2...70","alikadam","020003004","200304","020003",660695114.24117,660695114.24117,"naikhongchhari","020003073","200373","020003",491474332.985127,491474332.985127,0,0,1152169447.2263,0,0,0,0,NA,"91_01",NA,NA,NA
"10.3...71","lama","020003051","200351","020003",924215518.912131,924215518.912131,"naikhongchhari","020003073","200373","020003",491474332.985127,491474332.985127,0,0,1415689851.89726,0,0,0,0,NA,"91_01",NA,NA,NA
"11.2...72","naikhongchhari","020003073","200373","020003",491474332.985127,491474332.985127,"naikhongchhari","020003073","200373","020003",491474332.985127,491474332.985127,491474332.985125,35473747927.2995,491474332.985129,491474332.985125,0.999999999999992,0.999999999999996,0.999999999999996,0.0138545928102201,"91_01",NA,NA,NA
"88.1...73","chakaria","020022016","202216","020022",661498472.472226,661498472.472226,"naikhongchhari","020003073","200373","020003",491474332.985127,491474332.985127,6.60046935081482e-05,171254210.53383,1152972805.45729,6.60046935081482e-05,5.72473983737801e-14,1.34299370441682e-13,9.97805682928761e-14,3.85419390871615e-13,"91_01",NA,NA,NA
"92...74","ramu","020022066","202266","020022",390385995.715591,390385995.715591,"naikhongchhari","020003073","200373","020003",491474332.985127,491474332.985127,0,0,881860328.700718,0,0,0,0,NA,"91_01",NA,NA,NA
"94...75","ukhia","020022094","202294","020022",264660325.601938,264660325.601938,"naikhongchhari","020003073","200373","020003",491474332.985127,491474332.985127,0,0,756134658.587065,0,0,0,0,NA,"91_01",NA,NA,NA
"9.2...76","bandarban sadar","020003014","200314","020003",473870311.070984,473870311.070984,"rowangchhari","020003089","200389","020003",510867107.842282,510867107.842282,0,0,984737418.913266,0,0,0,0,NA,"91_01",NA,NA,NA
"12.1...77","rowangchhari","020003089","200389","020003",510867107.842282,510867107.842282,"rowangchhari","020003089","200389","020003",510867107.842282,510867107.842282,510867107.842284,14782331336.5494,510867107.842279,510867107.842284,1.00000000000001,1,1,0.0345593057151387,"91_01",NA,NA,NA
"13.2...78","ruma","020003091","200391","020003",649584790.909168,649584790.909168,"rowangchhari","020003089","200389","020003",510867107.842282,510867107.842282,0,0,1160451898.75145,0,0,0,0,NA,"91_01",NA,NA,NA
"345...79","belai chhari , jurai chhari","020084029","208429","020084",1392911641.17614,1392911641.17614,"rowangchhari","020003089","200389","020003",510867107.842282,510867107.842282,3.39299440383911e-05,400574691.963245,1903778749.01839,3.39299440383911e-05,1.7822419782701e-14,6.64163801457074e-14,2.43590067276209e-14,8.47031645261913e-14,"91_01",NA,NA,NA
"350.1...80","rajasthali","020084078","208478","020084",287175974.373021,287175974.373021,"rowangchhari","020003089","200389","020003",510867107.842282,510867107.842282,1.70436770714879e-05,28571210.3623507,798043082.215285,1.70436770714879e-05,2.13568383102531e-14,5.93492443394633e-14,3.33622517673416e-14,5.96533253416065e-13,"91_01",NA,NA,NA
"9.3...81","bandarban sadar","020003014","200314","020003",473870311.070984,473870311.070984,"ruma","020003091","200391","020003",649584790.909168,649584790.909168,0,0,1123455101.98015,0,0,0,0,NA,"91_01",NA,NA,NA
"10.4...82","lama","020003051","200351","020003",924215518.912131,924215518.912131,"ruma","020003091","200391","020003",649584790.909168,649584790.909168,0,0,1573800309.8213,0,0,0,0,NA,"91_01",NA,NA,NA
"12.2...83","rowangchhari","020003089","200389","020003",510867107.842282,510867107.842282,"ruma","020003091","200391","020003",649584790.909168,649584790.909168,0,0,1160451898.75145,0,0,0,0,NA,"91_01",NA,NA,NA
"13.3...84","ruma","020003091","200391","020003",649584790.909168,649584790.909168,"ruma","020003091","200391","020003",649584790.909168,649584790.909168,649584790.909173,13269131852.4997,649584790.909162,649584790.909173,1.00000000000002,1.00000000000001,1.00000000000001,0.0489545810630256,"91_01",NA,NA,NA
"14.2...85","thanchi","020003095","200395","020003",963960462.885549,963960462.885549,"ruma","020003091","200391","020003",649584790.909168,649584790.909168,0,0,1613545253.79472,0,0,0,0,NA,"91_01",NA,NA,NA
"345.1...86","belai chhari , jurai chhari","020084029","208429","020084",1392911641.17614,1392911641.17614,"ruma","020003091","200391","020003",649584790.909168,649584790.909168,3.07090794297556e-05,469692377.766587,2042496432.08528,3.07090794297556e-05,1.50350712722682e-14,4.72749360199378e-14,2.20466815855065e-14,6.53812599126666e-14,"91_01",NA,NA,NA
"8.3...87","alikadam","020003004","200304","020003",660695114.24117,660695114.24117,"thanchi","020003095","200395","020003",963960462.885549,963960462.885549,0,0,1624655577.12672,0,0,0,0,NA,"91_01",NA,NA,NA
"10.5...88","lama","020003051","200351","020003",924215518.912131,924215518.912131,"thanchi","020003095","200395","020003",963960462.885549,963960462.885549,0,0,1888175981.79768,0,0,0,0,NA,"91_01",NA,NA,NA
"13.4...89","ruma","020003091","200391","020003",649584790.909168,649584790.909168,"thanchi","020003095","200395","020003",963960462.885549,963960462.885549,0,0,1613545253.79472,0,0,0,0,NA,"91_01",NA,NA,NA
"14.3...90","thanchi","020003095","200395","020003",963960462.885549,963960462.885549,"thanchi","020003095","200395","020003",963960462.885549,963960462.885549,963960462.885556,41686130746.4997,963960462.885542,963960462.885556,1.00000000000001,1.00000000000001,1.00000000000001,0.0231242488958153,"91_01",NA,NA,NA
"345.2...91","belai chhari , jurai chhari","020084029","208429","020084",1392911641.17614,1392911641.17614,"thanchi","020003095","200395","020003",963960462.885549,963960462.885549,2.298504114151e-06,5507425.05629442,2356872104.06169,2.298504114151e-06,9.7523497782926e-16,2.38443816177957e-15,1.65014351679206e-15,4.17346417001907e-13,"91_01",NA,NA,NA
"15...92","agailjhara","010006002","100602","010006",155107163.92889,155107163.92889,"agailjhara","010006002","100602","010006",155107163.92889,155107163.92889,155107163.928891,3406174691.72178,155107163.928889,155107163.928891,1.00000000000001,1.00000000000001,1.00000000000001,0.0455370548979348,"91_01",NA,NA,NA
"20...93","gaurnadi","010006032","100632","010006",152101216.691365,152101216.691365,"agailjhara","010006002","100602","010006",155107163.92889,155107163.92889,0,0,307208380.620255,0,0,0,0,NA,"91_01",NA,NA,NA
"24...94","wazirpur","010006094","100694","010006",248911643.274889,248911643.274889,"agailjhara","010006002","100602","010006",155107163.92889,155107163.92889,0,0,404018807.203779,0,0,0,0,NA,"91_01",NA,NA,NA
"139...95","kotalipara","030035051","303551","030035",362822824.932486,362822824.932486,"agailjhara","010006002","100602","010006",155107163.92889,155107163.92889,0,0,517929988.861376,0,0,0,0,NA,"91_01",NA,NA,NA
"231...96","kalkini","030054040","305440","030054",295756477.961951,295756477.961951,"agailjhara","010006002","100602","010006",155107163.92889,155107163.92889,0,0,450863641.89084,0,0,0,0,NA,"91_01",NA,NA,NA
"16...97","babuganj","010006003","100603","010006",167969628.517071,167969628.517071,"babuganj","010006003","100603","010006",167969628.517071,167969628.517071,167969628.517071,6378922585.11564,167969628.517071,167969628.517071,1,1,1,0.0263319747615383,"91_01",NA,NA,NA
"19...98","barisal sadar (kotwali)","010006051","100651","010006",253991691.89015,253991691.89015,"babuganj","010006003","100603","010006",167969628.517071,167969628.517071,5.88807602655423e-05,454591014.592445,421961320.407162,5.88807602655423e-05,1.3954065791795e-13,3.50544088150782e-13,2.31821599467938e-13,1.29524690052069e-13,"91_01",NA,NA,NA
"20.1...99","gaurnadi","010006032","100632","010006",152101216.691365,152101216.691365,"babuganj","010006003","100603","010006",167969628.517071,167969628.517071,0,0,320070845.208436,0,0,0,0,NA,"91_01",NA,NA,NA
"23...100","muladi","010006069","100669","010006",235339810.452698,235339810.452698,"babuganj","010006003","100603","010006",167969628.517071,167969628.517071,3.88153358046026e-05,307409093.870686,403309438.96973,3.88153358046026e-05,9.62420713578089e-14,2.31085441738997e-13,1.64933148071878e-13,1.26266062320624e-13,"91_01",NA,NA,NA
"24.1...101","wazirpur","010006094","100694","010006",248911643.274889,248911643.274889,"babuganj","010006003","100603","010006",167969628.517071,167969628.517071,0,0,416881271.79196,0,0,0,0,NA,"91_01",NA,NA,NA
"170...102","jhalokati sadar","010042040","104240","010042",191507051.548798,191507051.548798,"babuganj","010006003","100603","010006",167969628.517071,167969628.517071,1.51946659672146e-05,27160596.9920537,359476680.065854,1.51946659672146e-05,4.22688502754367e-14,9.0460794021881e-14,7.93425925799023e-14,5.59437849310165e-13,"91_01",NA,NA,NA
"17...103","bakerganj","010006007","100607","010006",384977002.752743,384977002.752743,"bakerganj","010006007","100607","010006",384977002.752743,384977002.752743,384977002.752744,21621928038.9644,384977002.752742,384977002.752744,1.00000000000001,1,1,0.0178049340493126,"91_01",NA,NA,NA
"19.1...104","barisal sadar (kotwali)","010006051","100651","010006",253991691.89015,253991691.89015,"bakerganj","010006007","100607","010006",384977002.752743,384977002.752743,8.85249532264387e-05,884797886.263365,638968694.642805,8.85249532264387e-05,1.38543490422369e-13,3.48534838158113e-13,2.29948678994977e-13,1.00051045103976e-13,"91_01",NA,NA,NA
"22...105","mehendiganj","010006062","100662","010006",510713861.580093,510713861.580093,"bakerganj","010006007","100607","010006",384977002.752743,384977002.752743,3.84361845985354e-06,546782.832644002,895690864.332832,3.84361845985354e-06,4.29123329589447e-15,9.98402094766726e-15,7.52597246521136e-15,7.0295156145768e-12,"91_01",NA,NA,NA
"44...106","betagi","010004047","100447","010004",196140478.266756,196140478.266756,"bakerganj","010006007","100607","010006",384977002.752743,384977002.752743,0,0,581117481.019499,0,0,0,0,NA,"91_01",NA,NA,NA
"171...107","kanthalia","010042043","104243","010042",142977651.337595,142977651.337595,"bakerganj","010006007","100607","010006",384977002.752743,384977002.752743,0.000213830257278054,700380.928040351,527954654.090124,0.000213830257278054,4.05016331651756e-13,1.49555021555896e-12,5.55436443603332e-13,3.05305653990816e-10,"91_01",NA,NA,NA
"172...108","nalchity","010042073","104273","010042",229314691.597271,229314691.597271,"bakerganj","010006007","100607","010006",384977002.752743,384977002.752743,0.0163717722519141,422933227.273389,614291694.333642,0.0163717722519141,2.66514628195869e-11,7.13943452025599e-11,4.25266240187057e-11,3.87100638969925e-11,"91_01",NA,NA,NA
"173...109","rajapur","010042084","104284","010042",158885539.991438,158885539.991438,"bakerganj","010006007","100607","010006",384977002.752743,384977002.752743,6.37009927567499e-05,31287285.2706349,543862542.744118,6.37009927567499e-05,1.17127008665351e-13,4.00923789289966e-13,1.65467007902451e-13,2.03600255521489e-12,"91_01",NA,NA,NA
"352...110","bauphal","010078038","107838","010078",367682809.077434,367682809.077434,"bakerganj","010006007","100607","010006",384977002.752743,384977002.752743,3.33581436660051e-05,193087628.899985,752659811.830144,3.33581436660051e-05,4.43203465120484e-14,9.07253285779262e-14,8.66497048589416e-14,1.72761682641429e-13,"91_01",NA,NA,NA
"355...111","mirzaganj","010078076","107876","010078",147347646.24222,147347646.24222,"bakerganj","010006007","100607","010006",384977002.752743,384977002.752743,1.09090153963336e-05,127976929.248065,532324648.994953,1.09090153963336e-05,2.04931622402424e-14,7.40358986013298e-14,2.83367975705814e-14,8.52420468316448e-14,"91_01",NA,NA,NA
"475...112","patuakhali sadar","010078095","107895","010078",474994684.551274,474994684.551274,"bakerganj","010006007","100607","010006",384977002.752743,384977002.752743,3.47421182851524e-05,443164524.253302,859971687.303982,3.47421182851524e-05,4.03991419695098e-14,9.02446588672364e-14,7.31421201438774e-14,7.83955311939516e-14,"91_01",NA,NA,NA
"18...113","banari para","010006010","100610","010006",128405940.073897,128405940.073897,"banari para","010006010","100610","010006",128405940.073897,128405940.073897,128405940.073899,4773127783.44168,128405940.073896,128405940.073899,1.00000000000002,1.00000000000001,1.00000000000001,0.0269018442203345,"91_01",NA,NA,NA
"24.2...114","wazirpur","010006094","100694","010006",248911643.274889,248911643.274889,"banari para","010006010","100610","010006",128405940.073897,128405940.073897,0,0,377317583.348786,0,0,0,0,NA,"91_01",NA,NA,NA
