"","admin_name","ipum1991","upaz1991","parent","area91","A","admin_name.1","ipum2001","upaz2001","parent.1","area01","B","A_intersect_B","A_intersect_B_perimeter","A_union_B","metric_1","metric_2","metric_3","metric_4","metric_5","pair","ipum2011","upaz2011","area11"
"124.1...732","sonagazi","020030094","203094","020030",215734211.639099,215734211.639099,"daganbhuiyan","020030025","203025","020030",144322923.383655,144322923.383655,3.13196907846034e-05,198363674.875731,360057135.022723,3.13196907846034e-05,8.69853357651886e-14,2.17011199955713e-13,1.45177209245782e-13,1.57890252861187e-13,"91_01",NA,NA,NA
"326...733","companiganj","020075021","207521","020075",185750525.460104,185750525.460104,"daganbhuiyan","020030025","203025","020030",144322923.383655,144322923.383655,0,0,330073448.843759,0,0,0,0,NA,"91_01",NA,NA,NA
"328.1...734","senbagh","020075080","207580","020075",159827493.518022,159827493.518022,"daganbhuiyan","020030025","203025","020030",144322923.383655,144322923.383655,0,0,304150416.901677,0,0,0,0,NA,"91_01",NA,NA,NA
"67.4...735","mirsharai","020015053","201553","020015",550676641.37091,550676641.37091,"feni sadar","020030029","203029","020030",207715690.749141,207715690.749141,6.79772347211838e-06,8466270.14322517,758392332.120045,6.79772347211838e-06,8.96333359953114e-15,3.27260952102458e-14,1.23443105471033e-14,8.02918328510697e-13,"91_01",NA,NA,NA
"82.3...736","chauddagram","020019031","201931","020019",239896014.58779,239896014.58779,"feni sadar","020030029","203029","020030",207715690.749141,207715690.749141,0,0,447611705.336931,0,0,0,0,NA,"91_01",NA,NA,NA
"121.3...737","daganbhuiyan","020030025","203025","020030",144322923.383655,144322923.383655,"feni sadar","020030029","203029","020030",207715690.749141,207715690.749141,0,0,352038614.132796,0,0,0,0,NA,"91_01",NA,NA,NA
"122.5...738","feni sadar","020030029","203029","020030",207715690.749141,207715690.749141,"feni sadar","020030029","203029","020030",207715690.749141,207715690.749141,207715690.749139,11617075584.3061,207715690.749144,207715690.749139,0.999999999999976,0.999999999999988,0.999999999999988,0.0178802048107312,"91_01",NA,NA,NA
"123.1...739","parshuram","020030051","203051","020030",226175850.017539,226175850.017539,"feni sadar","020030029","203029","020030",207715690.749141,207715690.749141,2.08461445336218e-05,26871170.6617247,433891540.766659,2.08461445336218e-05,4.80445977277822e-14,1.00359026602365e-13,9.21678620065107e-14,7.75781032990684e-13,"91_01",NA,NA,NA
"124.2...740","sonagazi","020030094","203094","020030",215734211.639099,215734211.639099,"feni sadar","020030029","203029","020030",207715690.749141,207715690.749141,0,0,423449902.388241,0,0,0,0,NA,"91_01",NA,NA,NA
"485.2...741","chhagalnaiya","020030014","203014","020030",110700362.950341,110700362.950341,"feni sadar","020030029","203029","020030",207715690.749141,207715690.749141,1.39868988903533e-05,59824817.319404,318416053.699468,1.39868988903533e-05,4.39264877755021e-14,1.26349169213002e-13,6.73367468769862e-14,2.33797603019452e-13,"91_01",NA,NA,NA
"123.2...742","parshuram","020030051","203051","020030",226175850.017539,226175850.017539,"parshuram","020030051","203051","020030",100927005.876102,100927005.876102,100927005.876035,2429888630.46837,226175850.017605,100927005.876035,0.446232459690897,0.999999999999341,0.446232459691028,0.0415356508979514,"91_01",NA,NA,NA
"67.5...743","mirsharai","020015053","201553","020015",550676641.37091,550676641.37091,"sonagazi","020030094","203094","020030",215734211.639099,215734211.639099,2.37530805908917e-05,240820061.212591,766410853.009986,2.37530805908917e-05,3.09926203388226e-14,1.10103448175517e-13,4.31343529149127e-14,9.86341439799024e-14,"91_01",NA,NA,NA
"121.4...744","daganbhuiyan","020030025","203025","020030",144322923.383655,144322923.383655,"sonagazi","020030094","203094","020030",215734211.639099,215734211.639099,3.14605140030666e-05,198363674.875731,360057135.022723,3.14605140030666e-05,8.73764492990292e-14,2.17986950828559e-13,1.45829971815953e-13,1.58600177289394e-13,"91_01",NA,NA,NA
"122.6...745","feni sadar","020030029","203029","020030",207715690.749141,207715690.749141,"sonagazi","020030094","203094","020030",215734211.639099,215734211.639099,0,0,423449902.388241,0,0,0,0,NA,"91_01",NA,NA,NA
"124.3...746","sonagazi","020030094","203094","020030",215734211.639099,215734211.639099,"sonagazi","020030094","203094","020030",215734211.639099,215734211.639099,215734211.639102,8898077524.48508,215734211.639097,215734211.639102,1.00000000000002,1.00000000000001,1.00000000000001,0.024245036194106,"91_01",NA,NA,NA
"326.1...747","companiganj","020075021","207521","020075",185750525.460104,185750525.460104,"sonagazi","020030094","203094","020030",215734211.639099,215734211.639099,6.70059954291527e-05,1337254079.04569,401484737.099137,6.70059954291527e-05,1.66895498726287e-13,3.60731121826863e-13,3.10595129627593e-13,5.01071535163838e-14,"91_01",NA,NA,NA
"125...748","gaibandha sadar","050032024","503224","050032",323743757.016776,323743757.016776,"gaibandha sadar","050032024","503224","050032",323743757.016776,323743757.016776,323743757.016777,21609341368.7445,323743757.016776,323743757.016777,1,1,1,0.0149816577697752,"91_01",NA,NA,NA
"127.1...749","palashbari","050032067","503267","050032",185929258.60967,185929258.60967,"gaibandha sadar","050032024","503224","050032",323743757.016776,323743757.016776,0,0,509673015.626446,0,0,0,0,NA,"91_01",NA,NA,NA
"128...750","fulchhari","050032021","503221","050032",319540796.230007,319540796.230007,"gaibandha sadar","050032024","503224","050032",323743757.016776,323743757.016776,0,0,643284553.246783,0,0,0,0,NA,"91_01",NA,NA,NA
"129...751","sadullapur","050032082","503282","050032",229533092.247397,229533092.247397,"gaibandha sadar","050032024","503224","050032",323743757.016776,323743757.016776,0,0,553276849.264173,0,0,0,0,NA,"91_01",NA,NA,NA
"130.2...752","saghatta","050032088","503288","050032",226911076.934009,226911076.934009,"gaibandha sadar","050032024","503224","050032",323743757.016776,323743757.016776,0,0,550654833.950786,0,0,0,0,NA,"91_01",NA,NA,NA
"131...753","sundarganj","050032091","503291","050032",419510211.314168,419510211.314168,"gaibandha sadar","050032024","503224","050032",323743757.016776,323743757.016776,0,0,743253968.330944,0,0,0,0,NA,"91_01",NA,NA,NA
"156...754","dewanganj","030039015","303915","030039",270040444.412038,270040444.412038,"gaibandha sadar","050032024","503224","050032",323743757.016776,323743757.016776,1.56031182441505e-06,1649770.6319734,593784201.428813,1.56031182441505e-06,2.62774223473864e-15,5.77806716254053e-15,4.81958892054927e-15,9.45775003006725e-13,"91_01",NA,NA,NA
"483...755","char rajibpur","050049008","504908","050049",99495762.9670334,99495762.9670334,"gaibandha sadar","050032024","503224","050032",323743757.016776,323743757.016776,4.64409268935081e-06,912561.009450384,423239519.983805,4.64409268935081e-06,1.0972729317736e-14,4.66762860132001e-14,1.43449644624658e-14,5.08907639188733e-12,"91_01",NA,NA,NA
"40.5...756","shibganj","050010094","501094","050010",309972176.517024,309972176.517024,"gobindaganj","050032030","503230","050032",468802074.319983,468802074.319983,0,0,778774250.837007,0,0,0,0,NA,"91_01",NA,NA,NA
"41.4...757","sonatola","050010095","501095","050010",153318137.357337,153318137.357337,"gobindaganj","050032030","503230","050032",468802074.319983,468802074.319983,0,0,622120211.67732,0,0,0,0,NA,"91_01",NA,NA,NA
"106.3...758","ghoraghat","050027043","502743","050027",145564256.364358,145564256.364358,"gobindaganj","050032030","503230","050032",468802074.319983,468802074.319983,0,0,614366330.684341,0,0,0,0,NA,"91_01",NA,NA,NA
"126.3...759","gobindaganj","050032030","503230","050032",468802074.319983,468802074.319983,"gobindaganj","050032030","503230","050032",468802074.319983,468802074.319983,468802074.319983,24013104381.2939,468802074.319983,468802074.319983,0.999999999999999,0.999999999999999,0.999999999999999,0.0195227600261954,"91_01",NA,NA,NA
"127.2...760","palashbari","050032067","503267","050032",185929258.60967,185929258.60967,"gobindaganj","050032030","503230","050032",468802074.319983,468802074.319983,0,0,654731332.929653,0,0,0,0,NA,"91_01",NA,NA,NA
"130.3...761","saghatta","050032088","503288","050032",226911076.934009,226911076.934009,"gobindaganj","050032030","503230","050032",468802074.319983,468802074.319983,0,0,695713151.253992,0,0,0,0,NA,"91_01",NA,NA,NA
"152.1...762","kalai","050038058","503858","050038",156923907.551095,156923907.551095,"gobindaganj","050032030","503230","050032",468802074.319983,468802074.319983,0,0,625725981.871078,0,0,0,0,NA,"91_01",NA,NA,NA
"154.2...763","panchbibi","050038074","503874","050038",265013059.071407,265013059.071407,"gobindaganj","050032030","503230","050032",468802074.319983,468802074.319983,0,0,733815133.39139,0,0,0,0,NA,"91_01",NA,NA,NA
"106.4...764","ghoraghat","050027043","502743","050027",145564256.364358,145564256.364358,"palashbari","050032067","503267","050032",185929258.60967,185929258.60967,0,0,331493514.974028,0,0,0,0,NA,"91_01",NA,NA,NA
"125.1...765","gaibandha sadar","050032024","503224","050032",323743757.016776,323743757.016776,"palashbari","050032067","503267","050032",185929258.60967,185929258.60967,0,0,509673015.626446,0,0,0,0,NA,"91_01",NA,NA,NA
"126.4...766","gobindaganj","050032030","503230","050032",468802074.319983,468802074.319983,"palashbari","050032067","503267","050032",185929258.60967,185929258.60967,0,0,654731332.929653,0,0,0,0,NA,"91_01",NA,NA,NA
"127.3...767","palashbari","050032067","503267","050032",185929258.60967,185929258.60967,"palashbari","050032067","503267","050032",185929258.60967,185929258.60967,185929258.609669,12057084555.2387,185929258.609671,185929258.609669,0.999999999999985,0.999999999999993,0.999999999999993,0.0154207476739379,"91_01",NA,NA,NA
"129.1...768","sadullapur","050032082","503282","050032",229533092.247397,229533092.247397,"palashbari","050032067","503267","050032",185929258.60967,185929258.60967,0,0,415462350.857067,0,0,0,0,NA,"91_01",NA,NA,NA
"130.4...769","saghatta","050032088","503288","050032",226911076.934009,226911076.934009,"palashbari","050032067","503267","050032",185929258.60967,185929258.60967,0,0,412840335.543679,0,0,0,0,NA,"91_01",NA,NA,NA
"379.2...770","pirganj","050085076","508576","050085",426465257.164642,426465257.164642,"palashbari","050032067","503267","050032",185929258.60967,185929258.60967,0,0,612394515.774312,0,0,0,0,NA,"91_01",NA,NA,NA
"125.2...771","gaibandha sadar","050032024","503224","050032",323743757.016776,323743757.016776,"fulchhari","050032021","503221","050032",319540796.230007,319540796.230007,0,0,643284553.246783,0,0,0,0,NA,"91_01",NA,NA,NA
"128.1...772","fulchhari","050032021","503221","050032",319540796.230007,319540796.230007,"fulchhari","050032021","503221","050032",319540796.230007,319540796.230007,319540796.230003,11424173134.2112,319540796.23001,319540796.230003,0.999999999999981,0.99999999999999,0.99999999999999,0.0279705841706036,"91_01",NA,NA,NA
"130.5...773","saghatta","050032088","503288","050032",226911076.934009,226911076.934009,"fulchhari","050032021","503221","050032",319540796.230007,319540796.230007,0,0,546451873.164016,0,0,0,0,NA,"91_01",NA,NA,NA
"156.1...774","dewanganj","030039015","303915","030039",270040444.412038,270040444.412038,"fulchhari","050032021","503221","050032",319540796.230007,319540796.230007,1.87970896821689e-05,41594224.4912818,589581240.642026,1.87970896821689e-05,3.1882102730575e-14,6.9608423742214e-14,5.88253202844206e-14,4.51915858801714e-13,"91_01",NA,NA,NA
"157.1...775","islampur","030039029","303929","030039",333637881.127655,333637881.127655,"fulchhari","050032021","503221","050032",319540796.230007,319540796.230007,0,0,653178677.357661,0,0,0,0,NA,"91_01",NA,NA,NA
"125.3...776","gaibandha sadar","050032024","503224","050032",323743757.016776,323743757.016776,"sadullapur","050032082","503282","050032",229533092.247397,229533092.247397,0,0,553276849.264173,0,0,0,0,NA,"91_01",NA,NA,NA
"127.4...777","palashbari","050032067","503267","050032",185929258.60967,185929258.60967,"sadullapur","050032082","503282","050032",229533092.247397,229533092.247397,0,0,415462350.857067,0,0,0,0,NA,"91_01",NA,NA,NA
"129.2...778","sadullapur","050032082","503282","050032",229533092.247397,229533092.247397,"sadullapur","050032082","503282","050032",229533092.247397,229533092.247397,229533092.247397,8720308357.53295,229533092.247397,229533092.247397,1,1,1,0.026321671532305,"91_01",NA,NA,NA
"131.1...779","sundarganj","050032091","503291","050032",419510211.314168,419510211.314168,"sadullapur","050032082","503282","050032",229533092.247397,229533092.247397,0,0,649043303.561564,0,0,0,0,NA,"91_01",NA,NA,NA
"377.1...780","mitha pukur","050085058","508558","050085",511826564.864525,511826564.864525,"sadullapur","050032082","503282","050032",229533092.247397,229533092.247397,0,0,741359657.111921,0,0,0,0,NA,"91_01",NA,NA,NA
"379.3...781","pirganj","050085076","508576","050085",426465257.164642,426465257.164642,"sadullapur","050032082","503282","050032",229533092.247397,229533092.247397,0,0,655998349.412039,0,0,0,0,NA,"91_01",NA,NA,NA
"38.4...782","sariakandi","050010081","501081","050010",404247083.46444,404247083.46444,"saghatta","050032088","503288","050032",226911076.934009,226911076.934009,0,0,631158160.398449,0,0,0,0,NA,"91_01",NA,NA,NA
"41.5...783","sonatola","050010095","501095","050010",153318137.357337,153318137.357337,"saghatta","050032088","503288","050032",226911076.934009,226911076.934009,0,0,380229214.291347,0,0,0,0,NA,"91_01",NA,NA,NA
"125.4...784","gaibandha sadar","050032024","503224","050032",323743757.016776,323743757.016776,"saghatta","050032088","503288","050032",226911076.934009,226911076.934009,0,0,550654833.950786,0,0,0,0,NA,"91_01",NA,NA,NA
"126.5...785","gobindaganj","050032030","503230","050032",468802074.319983,468802074.319983,"saghatta","050032088","503288","050032",226911076.934009,226911076.934009,0,0,695713151.253992,0,0,0,0,NA,"91_01",NA,NA,NA
"127.5...786","palashbari","050032067","503267","050032",185929258.60967,185929258.60967,"saghatta","050032088","503288","050032",226911076.934009,226911076.934009,0,0,412840335.543679,0,0,0,0,NA,"91_01",NA,NA,NA
"128.2...787","fulchhari","050032021","503221","050032",319540796.230007,319540796.230007,"saghatta","050032088","503288","050032",226911076.934009,226911076.934009,0,0,546451873.164016,0,0,0,0,NA,"91_01",NA,NA,NA
"130.6...788","saghatta","050032088","503288","050032",226911076.934009,226911076.934009,"saghatta","050032088","503288","050032",226911076.934009,226911076.934009,226911076.93401,8160331480.54898,226911076.934008,226911076.93401,1.00000000000001,1.00000000000001,1.00000000000001,0.0278066004395627,"91_01",NA,NA,NA
"157.2...789","islampur","030039029","303929","030039",333637881.127655,333637881.127655,"saghatta","050032088","503288","050032",226911076.934009,226911076.934009,0,0,560548958.061664,0,0,0,0,NA,"91_01",NA,NA,NA
"125.5...790","gaibandha sadar","050032024","503224","050032",323743757.016776,323743757.016776,"sundarganj","050032091","503291","050032",419510211.314168,419510211.314168,0,0,743253968.330944,0,0,0,0,NA,"91_01",NA,NA,NA
"129.3...791","sadullapur","050032082","503282","050032",229533092.247397,229533092.247397,"sundarganj","050032091","503291","050032",419510211.314168,419510211.314168,0,0,649043303.561564,0,0,0,0,NA,"91_01",NA,NA,NA
"131.2...792","sundarganj","050032091","503291","050032",419510211.314168,419510211.314168,"sundarganj","050032091","503291","050032",419510211.314168,419510211.314168,419510211.314169,19564532980.7453,419510211.314166,419510211.314169,1.00000000000001,1,1,0.0214423830983871,"91_01",NA,NA,NA
"215...793","ulipur","050049094","504994","050049",452416537.305213,452416537.305213,"sundarganj","050032091","503291","050032",419510211.314168,419510211.314168,0,0,871926748.619381,0,0,0,0,NA,"91_01",NA,NA,NA
"377.2...794","mitha pukur","050085058","508558","050085",511826564.864525,511826564.864525,"sundarganj","050032091","503291","050032",419510211.314168,419510211.314168,0,0,931336776.178692,0,0,0,0,NA,"91_01",NA,NA,NA
"378...795","pirgachha","050085073","508573","050085",273195887.165302,273195887.165302,"sundarganj","050032091","503291","050032",419510211.314168,419510211.314168,0,0,692706098.47947,0,0,0,0,NA,"91_01",NA,NA,NA
"482...796","chilmari","050049009","504909","050049",234323716.483576,234323716.483576,"sundarganj","050032091","503291","050032",419510211.314168,419510211.314168,0.000108825588018068,69557297.4646005,653833927.797635,0.000108825588018068,1.66442246863258e-13,4.6442412936761e-13,2.59411058617997e-13,1.56454594966764e-12,"91_01",NA,NA,NA
"483.1...797","char rajibpur","050049008","504908","050049",99495762.9670334,99495762.9670334,"sundarganj","050032091","503291","050032",419510211.314168,419510211.314168,4.71280114013387e-06,3755825.27578973,519005974.281196,4.71280114013387e-06,9.08043716965092e-15,4.7366852613567e-14,1.123405584186e-14,1.2547977592336e-12,"91_01",NA,NA,NA
"99.3...798","savar","030026072","302672","030026",292365498.359007,292365498.359007,"gazipur sadar","030033030","303330","030033",344776754.97419,344776754.97419,0.000167660415172577,374701280.69132,637142253.33303,0.000167660415172577,2.63144398751627e-13,5.73461698160773e-13,4.8628688783015e-13,4.47450873034768e-13,"91_01",NA,NA,NA
"132.1...799","gazipur sadar","030033030","303330","030033",387284603.2156,387284603.2156,"gazipur sadar","030033030","303330","030033",344776754.97419,344776754.97419,344776754.973983,12500848191.3514,387284603.215807,344776754.973983,0.890241316363052,0.999999999999398,0.890241316363529,0.0275802689302724,"91_01",NA,NA,NA
"133.2...800","kaliakair","030033032","303332","030033",320480706.463472,320480706.463472,"gazipur sadar","030033030","303330","030033",344776754.97419,344776754.97419,9.92782211729892e-05,935563286.71969,665257461.437563,9.92782211729892e-05,1.49232781182879e-13,3.09779088633858e-13,2.87949288171765e-13,1.06115986574337e-13,"91_01",NA,NA,NA
"134...801","kaliganj","030033034","303334","030033",200915179.081764,200915179.081764,"gazipur sadar","030033030","303330","030033",344776754.97419,344776754.97419,0,0,545691934.055954,0,0,0,0,NA,"91_01",NA,NA,NA
"136...802","sreepur","030033086","303386","030033",465313526.681684,465313526.681684,"gazipur sadar","030033030","303330","030033",344776754.97419,344776754.97419,0,0,810090281.655874,0,0,0,0,NA,"91_01",NA,NA,NA
"277...803","rupganj","030067068","306768","030067",251096056.267768,251096056.267768,"gazipur sadar","030033030","303330","030033",344776754.97419,344776754.97419,0,0,595872811.241958,0,0,0,0,NA,"91_01",NA,NA,NA
"455.1...804","uttara","030026095","302695","030026",68362507.581769,68362507.581769,"gazipur sadar","030033030","303330","030033",344776754.97419,344776754.97419,0.000130541121300791,813430501.489968,413139262.555829,0.000130541121300791,3.15973651337848e-13,1.90954261214964e-12,3.78625065110794e-13,1.60482205992617e-13,"91_01",NA,NA,NA
"95.2...805","dhamrai","030026014","302614","030026",299612378.950922,299612378.950922,"kaliakair","030033032","303332","030033",320480706.463472,320480706.463472,8.64267349243164e-07,452319.456611913,620093085.414393,8.64267349243164e-07,1.39377033798981e-15,2.8846182933741e-15,2.69678433619427e-15,1.91074546232642e-12,"91_01",NA,NA,NA
"99.4...806","savar","030026072","302672","030026",292365498.359007,292365498.359007,"kaliakair","030033032","303332","030033",320480706.463472,320480706.463472,0.594047154638837,388378390.846048,612846204.228432,0.594047154638837,9.69325012605303e-10,2.03186476507355e-09,1.8536128467582e-09,1.52955769074783e-09,"91_01",NA,NA,NA
"132.2...807","gazipur sadar","030033030","303330","030033",387284603.2156,387284603.2156,"kaliakair","030033032","303332","030033",320480706.463472,320480706.463472,0.000276432400888683,2071831862.34461,707765309.678795,0.000276432400888683,3.90570711941415e-13,8.62555515241884e-13,7.13770696261825e-13,1.33424147930544e-13,"91_01",NA,NA,NA
"133.3...808","kaliakair","030033032","303332","030033",320480706.463472,320480706.463472,"kaliakair","030033032","303332","030033",320480706.463472,320480706.463472,320480706.463475,10077934054.4884,320480706.463469,320480706.463475,1.00000000000002,1.00000000000001,1.00000000000001,0.0318002384943908,"91_01",NA,NA,NA
"136.1...809","sreepur","030033086","303386","030033",465313526.681684,465313526.681684,"kaliakair","030033032","303332","030033",320480706.463472,320480706.463472,0.000114187598228455,784684595.173156,785794233.145042,0.000114187598228455,1.45314884497731e-13,3.56301006349253e-13,2.45399266689638e-13,1.45520377143707e-13,"91_01",NA,NA,NA
"435.1...810","mirzapur","030093066","309366","030093",365097548.308173,365097548.308173,"kaliakair","030033032","303332","030033",320480706.463472,320480706.463472,6.74694789166744e-05,441771452.210993,685578254.771578,6.74694789166744e-05,9.84125130094069e-14,2.10525868034944e-13,1.84798499002038e-13,1.52724850324757e-13,"91_01",NA,NA,NA
"437...811","sakhipur","030093085","309385","030093",440724189.080373,440724189.080373,"kaliakair","030033032","303332","030033",320480706.463472,320480706.463472,3.12823026428954e-05,106964719.976637,761204895.543814,3.12823026428954e-05,4.10957717508464e-14,9.76105644177396e-14,7.09793186259413e-14,2.92454396643378e-13,"91_01",NA,NA,NA
"132.3...812","gazipur sadar","030033030","303330","030033",387284603.2156,387284603.2156,"kaliganj","030033034","303334","030033",200915179.081764,200915179.081764,9.82615804915797e-05,848896241.151141,588199782.297266,9.82615804915797e-05,1.67054771948079e-13,4.8906996943019e-13,2.53719305326677e-13,1.15752168201773e-13,"91_01",NA,NA,NA
"134.1...813","kaliganj","030033034","303334","030033",200915179.081764,200915179.081764,"kaliganj","030033034","303334","030033",200915179.081764,200915179.081764,200915179.081766,6362191037.22292,200915179.081763,200915179.081766,1.00000000000001,1.00000000000001,1.00000000000001,0.0315795577193898,"91_01",NA,NA,NA
"135...814","kapasia","030033036","303336","030033",358178252.629241,358178252.629241,"kaliganj","030033034","303334","030033",200915179.081764,200915179.081764,0,0,559093431.711005,0,0,0,0,NA,"91_01",NA,NA,NA
"136.2...815","sreepur","030033086","303386","030033",465313526.681684,465313526.681684,"kaliganj","030033034","303334","030033",200915179.081764,200915179.081764,0,0,666228705.763449,0,0,0,0,NA,"91_01",NA,NA,NA
"277.1...816","rupganj","030067068","306768","030067",251096056.267768,251096056.267768,"kaliganj","030033034","303334","030033",200915179.081764,200915179.081764,0,0,452011235.349532,0,0,0,0,NA,"91_01",NA,NA,NA
"282...817","palash","030068063","306863","030068",92199650.43505,92199650.43505,"kaliganj","030033034","303334","030033",200915179.081764,200915179.081764,0,0,293114829.516814,0,0,0,0,NA,"91_01",NA,NA,NA
"284...818","shibpur","030068076","306876","030068",226098082.716642,226098082.716642,"kaliganj","030033034","303334","030033",200915179.081764,200915179.081764,0,0,427013261.798406,0,0,0,0,NA,"91_01",NA,NA,NA
"134.2...819","kaliganj","030033034","303334","030033",200915179.081764,200915179.081764,"kapasia","030033036","303336","030033",358178252.629241,358178252.629241,0,0,559093431.711005,0,0,0,0,NA,"91_01",NA,NA,NA
"135.1...820","kapasia","030033036","303336","030033",358178252.629241,358178252.629241,"kapasia","030033036","303336","030033",358178252.629241,358178252.629241,358178252.629239,12211579750.2172,358178252.629242,358178252.629239,0.999999999999993,0.999999999999997,0.999999999999997,0.0293310333270247,"91_01",NA,NA,NA
"136.3...821","sreepur","030033086","303386","030033",465313526.681684,465313526.681684,"kapasia","030033036","303336","030033",358178252.629241,358178252.629241,0,0,823491779.310925,0,0,0,0,NA,"91_01",NA,NA,NA
"207...822","pakundia","030048079","304879","030048",173995164.596926,173995164.596926,"kapasia","030033036","303336","030033",358178252.629241,358178252.629241,0,0,532173417.226166,0,0,0,0,NA,"91_01",NA,NA,NA
"280...823","manohardi","030068052","306852","030068",192547293.324427,192547293.324427,"kapasia","030033036","303336","030033",358178252.629241,358178252.629241,0,0,550725545.953667,0,0,0,0,NA,"91_01",NA,NA,NA
"282.1...824","palash","030068063","306863","030068",92199650.43505,92199650.43505,"kapasia","030033036","303336","030033",358178252.629241,358178252.629241,0,0,450377903.064291,0,0,0,0,NA,"91_01",NA,NA,NA
"284.1...825","shibpur","030068076","306876","030068",226098082.716642,226098082.716642,"kapasia","030033036","303336","030033",358178252.629241,358178252.629241,0,0,584276335.345883,0,0,0,0,NA,"91_01",NA,NA,NA
"287...826","gaffargaon","030061022","306122","030061",397231630.822892,397231630.822892,"kapasia","030033036","303336","030033",358178252.629241,358178252.629241,0,0,755409883.452132,0,0,0,0,NA,"91_01",NA,NA,NA
"132.4...827","gazipur sadar","030033030","303330","030033",387284603.2156,387284603.2156,"sreepur","030033086","303386","030033",465313526.681684,465313526.681684,0.000164585934400216,2647268565.90367,852598129.897119,0.000164585934400216,1.93040459073111e-13,4.24974122476517e-13,3.53709756890019e-13,6.21719822915031e-14,"91_01",NA,NA,NA
"133.4...828","kaliakair","030033032","303332","030033",320480706.463472,320480706.463472,"sreepur","030033086","303386","030033",465313526.681684,465313526.681684,0.000114873051643372,784684595.173155,785794233.145041,0.000114873051643372,1.46187190994781e-13,3.58439835305545e-13,2.46872366815923e-13,1.4639391718659e-13,"91_01",NA,NA,NA
"134.3...829","kaliganj","030033034","303334","030033",200915179.081764,200915179.081764,"sreepur","030033086","303386","030033",465313526.681684,465313526.681684,0,0,666228705.763449,0,0,0,0,NA,"91_01",NA,NA,NA
"135.2...830","kapasia","030033036","303336","030033",358178252.629241,358178252.629241,"sreepur","030033086","303386","030033",465313526.681684,465313526.681684,0,0,823491779.310925,0,0,0,0,NA,"91_01",NA,NA,NA
"136.4...831","sreepur","030033086","303386","030033",465313526.681684,465313526.681684,"sreepur","030033086","303386","030033",465313526.681684,465313526.681684,465313526.681686,18547959962.7797,465313526.681683,465313526.681686,1.00000000000001,1,1,0.0250870461018588,"91_01",NA,NA,NA
"285...832","bhaluka","030061013","306113","030061",433560384.631435,433560384.631435,"sreepur","030033086","303386","030033",465313526.681684,465313526.681684,0,0,898873911.313119,0,0,0,0,NA,"91_01",NA,NA,NA
"287.1...833","gaffargaon","030061022","306122","030061",397231630.822892,397231630.822892,"sreepur","030033086","303386","030033",465313526.681684,465313526.681684,0,0,862545157.504576,0,0,0,0,NA,"91_01",NA,NA,NA
"437.1...834","sakhipur","030093085","309385","030093",440724189.080373,440724189.080373,"sreepur","030033086","303386","030033",465313526.681684,465313526.681684,0,0,906037715.762058,0,0,0,0,NA,"91_01",NA,NA,NA
"5.3...835","mollahat","040001056","400156","040001",210199192.795978,210199192.795978,"gopalganj sadar","030035032","303532","030035",383873471.640461,383873471.640461,0,0,594072664.436438,0,0,0,0,NA,"91_01",NA,NA,NA
"137.1...836","gopalganj sadar","030035032","303532","030035",383873471.640461,383873471.640461,"gopalganj sadar","030035032","303532","030035",383873471.640461,383873471.640461,383873471.640459,15734155988.2886,383873471.640462,383873471.640459,0.999999999999992,0.999999999999996,0.999999999999996,0.02439746192463,"91_01",NA,NA,NA
"138.3...837","kashiani","030035043","303543","030035",296753784.986437,296753784.986437,"gopalganj sadar","030035032","303532","030035",383873471.640461,383873471.640461,0,0,680627256.626898,0,0,0,0,NA,"91_01",NA,NA,NA
"139.2...838","kotalipara","030035051","303551","030035",362822824.932486,362822824.932486,"gopalganj sadar","030035032","303532","030035",383873471.640461,383873471.640461,0,0,746696296.572947,0,0,0,0,NA,"91_01",NA,NA,NA
"140.2...839","muksudpur","030035058","303558","030035",335316220.916565,335316220.916565,"gopalganj sadar","030035032","303532","030035",383873471.640461,383873471.640461,0,0,719189692.557025,0,0,0,0,NA,"91_01",NA,NA,NA
"141.2...840","tungipara","030035091","303591","030035",165646339.156679,165646339.156679,"gopalganj sadar","030035032","303532","030035",383873471.640461,383873471.640461,0,0,549519810.79714,0,0,0,0,NA,"91_01",NA,NA,NA
"233.1...841","rajoir","030054080","305480","030054",229040673.562519,229040673.562519,"gopalganj sadar","030035032","303532","030035",383873471.640461,383873471.640461,0,0,612914145.202979,0,0,0,0,NA,"91_01",NA,NA,NA
"271.1...842","kalia","040065028","406528","040065",283743883.180934,283743883.180934,"gopalganj sadar","030035032","303532","030035",383873471.640461,383873471.640461,0,0,667617354.821395,0,0,0,0,NA,"91_01",NA,NA,NA
"272.1...843","lohagara","040065052","406552","040065",296079395.157335,296079395.157335,"gopalganj sadar","030035032","303532","030035",383873471.640461,383873471.640461,0,0,679952866.797795,0,0,0,0,NA,"91_01",NA,NA,NA
"113.2...844","alfadanga","030029003","302903","030029",93468579.4976681,93468579.4976681,"kashiani","030035043","303543","030035",296753784.986437,296753784.986437,5.73413794958135e-05,267441910.855604,390222364.484048,5.73413794958135e-05,1.46945395022733e-13,6.13482945862509e-13,1.93228805821076e-13,2.14406856847403e-13,"91_01",NA,NA,NA
