"name","bgmea_num","capacity","product_type","machine","fac_type","upazila","Latitude","Longitude","fac_ad","date_est","machine_pred","predicted_date","exist06"
"adorn garments ltd",2164,180000,"NA",123.5,"0","Kalabagan",23.7502964,90.3870857,"69/A Green Rood,Green Road,Dhaka",1994,0,0,1
"aeon garments ltd",284,NA,"NA",224.47161340805,"0","Mirpur",23.8060072,90.3571841,"Sony Cinema Bhaban, Section # 2,Mirpur,Dhaka",1984,0,0,1
"afco abedin garments ltd",73,2e+05,"NA",200.5,"0",NA,23.7923316,90.4005152,"House # 84, New Airport Road,Banani,Dhaka",1985,0,0,1
"agami apparels ltd",1669,41600,"NA",178.5,"0",NA,23.9047,90.32413,"62, kathgara, bishmail, zirabo road, ashulia dhaka savar",1993,0,0,1
"agami fashions ltd ",2426,41600,"NA",178.5,"0","Savar",23.8946743,90.2696336,"62, Kathgara, Bishmail,Zirabo Road, Ashulia,Savar,Dhaka",1997,0,0,1
"ags apparels ltd",94,104000,"NA",218,"0","Mohammadpur",23.7575183,90.3607505,"Sat Masjid Super Market (2nd floor),Plot # Gha, Block # D,Mohammadpur,Dhaka",1985,0,0,1
"ahmed fashions ",764,220000,"NA",143,"0.5","Mirpur",23.797427,90.353002,"34/1, Darus Salam Road,Section # 1,Mirpur,Dhaka",1990,0,0,1
"ahsan fashions ltd",1932,50000,"NA",45,"1","Narayanganj Sadar",NA,NA,NA,1994,0,1,1
"ahsan knitting ltd",2814,160000,"NA",70,"1","Narayanganj Sadar",23.6970192,90.5021589,"Suhhur Super Market,369, Siddirganj,Narayanganj",1995,0,0,1
"airtees apparels ltd",1972,5e+05,"NA",60,"1","Narayanganj Sadar",NA,NA,NA,1994,0,1,1
"ajax apparel ltd",1554,45000,"NA",36,"1","Pallabi",NA,NA,NA,1992,0,1,1
"ajax sweater ltd",2956,NA,"NA",200,"1","Savar",23.9101983,90.3172039,"Zirabo,Savar,Dhaka",1999,0,0,1
"aji apparels industry ltd",2181,145320,"NA",237,"1",NA,23.79864,90.26803,"226, singair road, hemayetpur dhaka savar",1995,0,0,1
"ak fashions ltd",3160,150000,"NA",60,"1","Narayanganj Sadar",23.6821653,90.4950746,"Mizmizi,Siddirganj,Narayanganj",1998,0,0,1
"akil design ltd",3154,NA,"shirts",71,"0","Kafrul",23.7944882,90.3802291,"262/1, Ibrahimpur,Cantonment,Dhaka",2000,0,0,1
"akm apparels ltd",1151,72000,"NA",75,"1","Gulshan",NA,NA,NA,1990,0,1,1
"al-amin apparels ltd",1234,48000,"NA",100,"0.5","Kadamtali",NA,NA,NA,1991,0,1,1
"alauddin and sons pvt ltd grdv",1867,45625,"NA",152,"0",NA,23.75587,90.39225,"120, east tejturi bazar, dhaka tajgaon i/a",1994,0,0,1
"albatross ltd ",298,45000,"NA",100,"0","Mohammadpur",23.7643432,90.3639384,"12/3, Tajmahal Road,Mohammadpur,Dhaka",1985,0,0,1
"albion apparels ltd",1084,35000,"NA",83,"0","Rampura",23.7524989,90.4159591,"98/B, Malibagh Chowdhury para,Malibagh,Dhaka",1992,0,0,1
"alcom international ltd",991,60000,"NA",125,"0.5","Gulshan",NA,NA,NA,1990,0,1,1
"al-deen garments ltd",107,75000,"NA",145,"0",NA,23.6920832,90.4314414,"18-20, D.I.T. Industrial Area,Shampur,Dhaka",1985,0,0,1
"aleef fashions wear ltd",316,132000,"NA",120,"0","Gulshan",23.7814109,90.3989036,"34, Airport Road,Banani,Dhaka",1985,0,0,1
"al-hamra garments ltd",839,50000,"NA",212.5,"0","Rampura",23.7525262,90.4165804,"26, Malibag Chowdhury Para.,Malibagh,Dhaka",1991,0,0,1
"ali garments ltd",95,180000,"NA",133,"0","Gazipur Sadar",23.9504063,90.380132,"8, Dagerhcala (3rd Floor),Choydana, National University,Gazipur",1985,0,0,1
"alif apparels ltd ",1326,72000,"NA",130,"0","Mohammadpur",23.7693493,90.3586836,"Road # 01, House # 11,Kha Ring Road,Mohammadpur,Dhaka",1992,0,0,1
"alif garments ltd",579,146000,"NA",271,"0","Mohammadpur",23.7707785,90.3660553,"21/22, Babar Road,Block- B,Mohammadpur,Dhaka",1985,0,0,1
"alif knit wear pvt ltd",1000,84000,"NA",46,"1","Pallabi",NA,NA,NA,1990,0,1,1
"alif outwears ltd ",2324,70000,"NA",114,"0","Adabor",23.7738752,90.3619591,"30, Ring Road (2nd Floor),Shamoli,Dhaka",1996,0,0,1
"alif textiles ltd",1907,70000,"NA",135,"0","New Market",23.7351278,90.3841154,"74/A, Science Laboratary Road,Dhanmondi,Dhaka",1994,0,0,1
"am minang pvi lid",2085,36000,"NA",161,"1","Mirpur",NA,NA,NA,1995,0,1,1
"alim knitwears ltd",3204,240000,"t-shirts, polo shirts, knit trousers",120,"1","Pallabi",23.8253064,90.3724815,"27, Harunabad, Senanibas Road,Section # 12, Pallabi,Mirpur,Dhaka",2000,0,0,1
"al-islam apparets ltd",1108,120000,"NA",190,"0",NA,23.77344,90.35864,"13, sayanir griho nirman society, north adabor dhaka mohammadpur",1992,0,0,1
"al-islam fashions wears ltd",2385,125000,"NA",200,"0.5",NA,23.77329,90.35483,"31, chayaner adabor, adabor dhaka shamoli",1996,0,0,1
"all weather fashions ltd",1154,1e+05,"NA",238.5,"0","Tejgaon Ind. Area",23.7748461,90.3986486,"52, Shaheed Tajuddin Ahmed Sarani,Mohakhali,Dhaka",1992,0,0,1
"all win fashions ltd",2212,45000,"NA",102,"0","Sher-e-bangla Nagar",23.7807183,90.3693678,"152/KA, West Agargaon,Sher-E-Bangla Nagar,Dhaka",1995,0,0,1
"allahma apparels",775,90000,"NA",55,"0","mirpur",23.7547528,90.3690322,"Plot # 97, Street # 1, Block # D,Section # 2,Mirpur,Dhaka",1990,0,0,1
"alliance fashions ltd",1253,36000,"NA",125,"0","Sutrapur",23.7211352,90.4205461,"7, Hatkhola road,Tikatoli,Motijheel,Dhaka",1992,0,0,1
"alliance fashions wears ltd",1357,36000,"NA",225,"0","Gulshan",23.781836,90.3989692,"House # 79, Block - L,New Airport Road,Banani,Dhaka",1993,0,0,1
"alliance garments ltd",890,75000,"NA",210,"0","Mirpur",23.7998268,90.3595074,"House # 8 & 10, Road # 3, Section # 7,Mirpur I/A,Mirpur,Dhaka",1991,0,0,1
"allied garments ltd",96,120000,"NA",178,"0","Ramna",23.7512869,90.413756,"468, D.I.T. Road,Malibagh Supper Market,Malibagh,Dhaka",1985,0,0,1
"alltex industries ltd",2623,250000,"NA",60,"0","Rupganj",23.7222893,90.5080634,"Tarabo,Rupganj,Narayanganj",1998,0,0,1
"allure apparel ltd",2499,20000,"NA",125,"0","Savar",23.9003712,90.3272255,"Gorat (3rd Floor),Ashulia,Savar,Dhaka",1997,0,0,1
"al-muslim fashions wear ltd",2565,75000,"NA",130,"0","Savar",23.8488884,90.257555,"Razzak Plaza, B-120 Jaleshwar,Savar Bazar Bus Stand,Dhaka",1997,0,0,1
"al-muslim garments ltd",1309,1e+05,"NA",262.5,"0","Savar",23.8488884,90.257555,"Razzak Plaza, B-120 Jaleshwar,Savar Bazar Bus Stand,Savar,Dhaka",1992,0,0,1
"alpha knitting wear ltd",1115,120000,"NA",245,"0","mirpur",23.7914147,90.3751602,"888, Shawra Para,Rokeya Sarani,Mirpur,Dhaka",1989,0,0,1
"alpine apparels ltd",1531,40000,"NA",153.5,"0","uttara",23.8676667,90.4062415,"51-52, Ismail Tower(2nd Floor),Shah Kabir Mazar Road, Moushair,Uttara,Dhaka",1993,0,0,1
"alpine knit fabrics ltd",2807,165000,"NA",38,"1","Narayanganj Sadar",NA,NA,NA,1998,0,1,1
"alpine ltd gmtdiv",97,1e+05,"NA",250,"0","gulshan",23.7953735,90.4157307,"33, North Avenue,Gulshan North C/A,Gulshan,Dhaka",1985,0,0,1
"alps apparels ltd",970,3e+05,"NA",152.5,"1","pallabi",23.8231074,90.3589489,"11/B, Extension Pallabi,Mirpur,Dhaka",1992,0,0,1
"alps wear ltd",1125,16000,"NA",125,"0","dhanmondi",23.7392738,90.3753516,"15/G, Zigatola (3rd Floor),Dhanmondi,Dhaka",1992,0,0,1
"aman knittings ltd",2978,60000,"NA",476,"1","savar",23.798635,90.2680347,"Kulasur,Hemayetpur,Savar,Dhaka",1999,0,0,1
"amazan garments ltd",1132,NA,"NA",162,"1","Rampura",23.7525262,90.4165804,"26, Malibag Chowdhury Para,Malibagh,Dhaka",1992,0,0,1
"amber apparels and textiles ltd",2140,220000,"NA",125,"1","Kalabagan",23.7505575,90.3858985,"146/4, Green Road,Green Road,Dhaka",1995,0,0,1
"amc sweaters ltd",2866,107510,"NA",698,"1","Gazipur Sadar",23.9504063,90.380132,"158/283, Choydana,National University,Joydevpur,Gazipur",1999,0,0,1
"amco fashions ltd",621,40000,"NA",198,"0","Mirpur",23.7837512,90.3526664,"Plot No. 2A Darus Salam Road,Mirpur,Dhaka",1986,0,0,1
"ameen fabrics ltd",2524,60000,"NA",107.5,"0.5","Sonargaon",23.7037954,90.5192612,"Senpara,Kanchpur,Sonargaon,Narayanganj",1997,0,0,1
"ameertex ltd ",2975,175000,"NA",131.619288313789,"1","savar",23.8359455,90.2608306,"Anandapur,Savar,Dhaka",1999,0,0,1
"amena fashions pvltd",1961,NA,"sweaters",224.47161340805,"0","uttara, bimanbandar",23.8713307,90.4042719,"Abdul Latif Market, Road # 9/C,Ahalia, Sector # 6,Uttara,Dhaka",2000,0,0,1
"amex ltd ",2890,48000,"NA",158,"0","Gazipur Sadar",23.9960813,90.3218558,"Jarun,Konabari,Gazipur",2000,0,0,1
"amico apparels ltd",1690,150000,"NA",261,"0","Mirpur",23.7840144,90.3528264,"122-123, Darus Salam,Mirpur Road,Dhaka",1993,0,0,1
"amity apparels ltd",1173,36000,"NA",120,"0","Rampura",23.7578711,90.4172642,"1, Hajipara,D.I.T Road,Rampura,Dhaka",1991,0,0,1
"amity fashions wears ltd",1191,90000,"NA",120,"0.5","Mirpur",23.7942336,90.3531953,"2, Darus Salam Raod,,Mirpur,Dhaka",1992,0,0,1
"anam garments ltd",1073,96000,"NA",172.5,"0","pallabi",23.8253064,90.3724815,"House # 66, Road # 4,Block - B, Section # 12,Mirpur,Dhaka",1992,0,0,1
"anannya fashions ltd",1074,50000,"NA",130,"0","Gulshan",23.781836,90.3989692,"H # 79, Block # J, New Airport Road,Chairman Bari,Banani,Dhaka",1992,0,0,1
"ananta apparels ltd",1181,1e+05,"NA",447.5,"0","New Market",23.7390035,90.38743,"Ananta Plaza,136, Elephent Road,Elephant Road,Dhaka",1992,0,0,1
"ananta fashions ltd",2993,120000,"NA",494,"0","New Market",23.7390035,90.38743,"Ananta Plaza,136, Elephant Road,Elephant Road,Dhaka",1999,0,0,1
"ananta sportswear ltd",2966,38500,"NA",547.5,"0","savar",23.9280474,90.3148533,"Nishchintapur,Ashulia, DEPZ Road,Savar,Dhaka",1999,0,0,1
"ananya apparels ltd",1455,130000,"NA",363.5,"0","pallabi",23.8041347,90.3528138,"Anik Plaza, Plot # 155, Road # 1,Block # A, Section # 12,Mirpur,Dhaka",1993,0,0,1
"angasree apparels ltd",1756,20000,"NA",56,"0","Kafrul",NA,NA,NA,1993,0,1,1
"angel apparels ltd",1267,72000,"NA",120,"0","Dhanmondi",23.7489221,90.3664488,"299/A Eidgah,Road # 8/A, West Dhanmondi,Dhanmondi,Dhaka",1992,0,0,1
"angel fashions ",1275,65000,"NA",131,"1","Pallabi",23.8227711,90.3625374,"House # 13, Road # 2/B,Pallabi,Mirpur,Dhaka",1992,0,0,1
"angels composit knitting inds pvt ltd",2500,150000,"NA",88,"1","Gazipur Sadar",23.9010413,90.4088223,"3/A, Badam,Tongi,Gazipur",1997,0,0,1
"angels corporation pvt ltd",545,50000,"NA",159,"0","Bangshal",NA,NA,NA,1988,0,1,1
"angora sweaters ltd",2074,48000,"NA",200,"1","Rampura",23.7524268,90.4159445,"79-B, Malibagh Chowdhury Para,Malibagh,Dhaka",1995,0,0,1
"angshuk ltd",3039,90000,"shirts, blouses, shorts",165,"0","Savar",23.798635,90.2680347,"133/134, Hamayetpur,Savar,Dhaka",1999,0,0,1
"anika apparels pvt ltd",3189,45625,"shirts, jackets, pants",1120,"0","Mirpur",23.7772543,90.3599659,"Plot # I/1, Gha Part,Section # 2,Mirpur,Dhaka",2000,0,0,1
"anika garments pvt ltd",979,72000,"NA",189.5,"0","Mirpur",23.7772543,90.3599659,"Plot # I/1, Gha Part (4th Floor),Section # 2,Mirpur,Dhaka",1992,0,0,1
"anirban garments ltd",2860,62400,"NA",147.5,"0","Badda",23.7753515,90.4225336,"South Badda,Badda,Dhaka",1997,0,0,1
"anjuman garments pvt ltd",1156,36000,"NA",115,"1","Mohammadpur",23.7668755,90.3635131,"3/17, Hummyun Road,Mohammadpur,Dhaka",1992,0,0,1
"anowara fabrics pvt ltd",2810,NA,"NA",90,"1","Narayanganj Sadar",23.6191169,90.5030441,"33/2, Isha Khan Road,Narayanganj",1998,0,0,1
"anowara knitting ltd",3077,83000,"knit items",54,"1","Narayanganj Sadar",23.6191169,90.5030441,"33/2-A, Isha Khan Road,Narayanganj",2000,0,0,1
"anowara styles ltd",2809,NA,"NA",90,"1","Narayanganj Sadar",23.6191169,90.5030441,"33/2-A, Isha Khan Road,Narayanganj",1998,0,0,1
"antirn knitting dyeing and finising ltd",2837,90000,"NA",256,"1","Rupganj",23.7399725,90.5248384,"Rupshi Bus Stand,Rupganj,Narayanganj",1998,0,0,1
"antler apparelsltd",856,156000,"NA",92,"0.5","Kaliakair",24.0478735,90.2379523,"Chandora,Kaliakoir,Gazipur",1991,0,0,1
"anu fashions pvt ltd",3139,50000,"vests, shirts , jackets",80,"0","Mohammadpur",NA,NA,NA,2000,0,1,1
"anupam apparels pvt ltd",661,85000,"NA",135,"0.5","Chak Bazar",23.7093045,90.4038533,"5/3 Iswar Chandra road,Badamtolly,Old Dhaka,Dhaka",1987,0,0,1
"anupam hosiery inds pvt ltdgardiv",1001,250000,"NA",130,"1",NA,23.78383,90.56302,"vulta, narayanganj rupganj",1992,0,0,1
"anupam hosiery inds pvt ltd",760,130000,"NA",75.5,"1","Rupganj",23.7838515,90.557105,"Vulta,Rupganj,Narayanganj",1992,0,0,1
"aparupa garments inds ltd",536,60000,"NA",150,"0",NA,23.75981,90.39132,"338/a, tejgaon, industrial area dhaka tejgaon",1985,0,0,1
"aparupa garments industnes ld u-2",1322,NA,"NA",224.47161340805,"0","Tejgaon Ind. Area",23.7712447,90.4018089,"348/B, Tejgaon I/A,Tejgaon,Dhaka",1992,0,0,1
"apeqs garments lid",512,70000,"NA",128,"0","Mohammadpur",NA,NA,NA,1987,0,1,1
"apex lingenie ltd",3085,1200000,"NA",656.5,"1","Kaliakair",24.069452,90.222418,"Chandora,Shafipur,Kaliakoir,Gazipur",2000,0,0,1
"apex spinning and knitting mils ltd",1276,1250000,"NA",875,"1","Kaliakair",24.069452,90.222418,"Chandora,Shafipur,Kaliakoir,Gazipur",1992,0,0,1
"apex sportswear ltd",435,24000,"NA",135,"0","Gulshan",23.7806094,90.3991735,"GP-TA, 41-42, Amtoli,Mohakhali,Dhaka",1985,0,0,1
"apex weaving and finishing mils lid",2624,2e+05,"NA",140,"0","Kaliakair",24.0372121,90.2576429,"East Chandra,Shafipur,Gazipur",1998,0,0,1
"apollo gaments indspvlltd",350,110000,"NA",375,"0","Khilgaon",23.742556,90.3965795,"B-37, E-1, Khilgaon Chowdhury Para,Khilgaon,Dhaka",1985,0,0,1
"apparel and apparel coltd",1216,78000,"NA",221,"0",NA,23.77928,90.35972,"24/kha, shahid minar road, kallayanpur dhaka mohammadpur",1993,0,0,1
