"name","bgmea_num","capacity","product_type","machine","fac_type","upazila","Latitude","Longitude","fac_ad","date_est","machine_pred","predicted_date","exist91","exist01"
"mousumi towels ltd ",2398,"72000","Towels",40,"0","Kotwali",22.3433811,91.8371901,"Anjuman Bldg.,155, Anderkilla,Kotawali,Chittagong",1997,0,0,0,1
"mridha fashions ltd",1366,"120000","T-shirts/Polo Shirts",75,"1","Gazipur Sadar",24.1315156,90.403094,"Boupara, Vowal Mirzapur,Gazipur Sadar,Gazipur",1993,0,0,0,1
"mts garments ltd",606,"60000","Jackets, Skirts",170,"0","Double Mooring",22.3381133,91.8147125,"86, Dewanhat,Chittagong",1983,0,0,1,1
"mukta apparels ltd ",2336,"36000","Jackets, Shortalls, Trousers",140,"0","Kotwali",22.3374846,91.8279007,"539, Reaz Uddin Road,Kotawali,Chittagong",1996,0,0,0,1
"multi knitex ltd",2577,"20000","Sweaters",137,"1","Chittagong Port",22.3148452,91.8050218,"Jamal Complex,198, Goshail Danga,Chittagong",1997,0,0,0,1
"multi safh bags ltd",2778,"104000","Jackets, Pants, bags",325,"0","Patenga",22.2929379,91.7766205,"SFB # 6, East Wing,South Halishahar,CEPZ,Chittagong",1998,0,0,0,1
"multifabs ltd",1843,"100000","T/Polo Shirts/Tanktop, Vest",120,"1","Gazipur Sadar",23.9887791,90.3209478,"Nayapara,Kashimpur,Gazipur",1994,0,0,0,1
"multiline sweaters ltd",3078,"24000","Sweaters",185.238576627578,"1","Uttara",23.8680559,90.4001427,"14, Moushire, Challaband,Azampur,Uttara,Dhaka",2000,1,0,0,1
"multiple fashions ltd",2174,"X","Shirts, Jackets, Shorts",250,"0","Tejgaon Ind. Area",23.7712446,90.4018095,"271, Tejgaon I/A,Tejgaon,Dhaka",1995,0,0,0,1
"multistyle costume ltd",1865,"75000","Shirts, Jackets, Trousers",116,"0","Uttara",23.86468,90.39923,"H.M. Plaza (4th Fl), Plot # 34,Road # 2, Sector # 3,Uttara,Dhaka",1994,0,0,0,1
"muma fashions ltd",2833,"X","Shirts, Blouses, Shorts",33,"0","Pallabi",23.8120747,90.3614973,"Plot # 7, Road # 9,Block - C, Section # 6,Mirpur,Dhaka",1998,0,0,0,1
"munni garments",2131,"36000","Shirts, Ladies Dresses, Children Wears",50,"0","Mohammadpur",23.7640107,90.3550534,"1, Hazi Dilgoni Market,Mohammadpur,Dhaka",1995,0,0,0,1
"murad apparels ltd",2268,"50000","Pants, Shirts, Jackets",120,"0","Kalabagan",23.742739,90.3905428,"190, Inner Circular Road,Motijheel,Dhaka",1995,0,0,0,1
"muslin textile mills ltd",2329,"600000","T/Polo Shirts",100,"1","Gazipur Sadar",23.9999405,90.4202724,"519, Chatar,Gazipur",1996,0,0,0,1
"mustaque fashions wear",840,"10400","Blouses, Jackets, Jogging Suits",78,"0","Mirpur",23.7889145,90.3518903,"2/8, Tolarbag, Section # 1,Mirpur,Dhaka",1991,0,0,1,1
"my choice enterprise ltd",1121,"30000","Children dresses, Shorts, T-Shirts",80,"0","Mirpur",23.8066056,90.3606031,"Plot-M/4/4, Road # 7,Section-7,Mirpur,Dhaka",1992,0,0,0,1
"m-yew fashions ltd",2612,"30000","Jackets, Children Wears, Trousers",90,"0","Tejgaon Ind. Area",23.7749259,90.3980577,"Haji Sahabuddin Shopping Complex(3rd & 4th),15/6, Rasulbagh,Mohakhali,Dhaka",1997,0,0,0,1
"na garments ltd",124,"30000","Shirts, Ladies Blouses, Trousers, Shorts",64,"0","Gulshan",23.7938154,90.4141297,"Plot # 36, Road # 46,Gulshan North C/A,Gulshan,Dhaka",1985,0,0,1,1
"naba apparels ltd",1623,"200000","Ladies/Girls Panties, Nightwears, Knit items",57,"1",NA,23.6924149,90.4337883,"Alam Super Market (3rd Floor),413, New jurain,Postagola,Dhaka",1993,0,0,0,1
"nadia garments ltd",646,"36000","Shirts, Blouses, Pants",111,"0","Ramna",23.7468693,90.3967754,"44, New Eskaton Road,Mogbazar,Dhaka",1986,0,0,1,1
"nafs fashions ltd",3008,"90000","Knit Items, Shorts",170,"0","Pahartali",22.356851,91.7831819,"N.T. Centre,911/4, Badurtala,Chittagong",1999,0,0,0,1
"nahar wool wears ltd",3152,"x","Sweaters",185.238576627578,"1","Mohammadpur",23.7611516,90.3568665,"Plot # 34, Main Road # 3,Block - D, Section # 11,Mirpur,Dhaka",2000,1,0,0,1
"naim garments ltd",77,"75000","Shirts, Chldren/ infant Wear, Knitted Garments",200,"0","Panchlaish",22.3618844,91.8272016,"185, Baiazid Bostami Road,Nasirabad I/A,Chittagong",1984,0,0,1,1
"narail garments pvt ltd",1465,"75000","Overalls, Trousers",250,"0","Mohammadpur",23.7729434,90.3645191,"House # 11, Mouli House, Road # 14,P.C. Culture H. Society Ltd.,Mohammadpur,Dhaka",1993,0,0,0,1
"naser garments ltd",1967,"300000","Knitted Garments, T-Shirts,Polo,Shirt,Vest",300,"1","Savar",23.9563608,90.2831353,"Ganak Bari,Savar,Dhaka",1994,0,0,0,1
"nasrin garments ltd",1695,"90000","Shirts, Wind Breakers, Shorts",80,"0","Hazaribagh",23.7271117,90.3728309,"217/1, Beribadh,Mohammadpur,Dhaka",1993,0,0,0,1
"nassa apparels ltd",1525,"60000","Blouses,Jackets",200,"0","Gazipur Sadar",23.953676,90.3779667,"Kunia K.B. Bazar,Board Bazar,Gazipur",1993,0,0,0,1
"nassa knit ltd ",2785,"60000","Shirts, Jackets",165,"0.5","Tejgaon Ind. Area",23.7635021,90.403683,"123, North Begunbari,Tejgaon,Dhaka",1998,0,0,0,1
"natural apparels ltd",3216,"Overalls, Pants",NA,200,"0","Rampura",23.7659742,90.4218387,"Mollah Tower (4th-6th Floor),464, West Rampura,Rampura,Dhaka",2000,0,0,0,1
"navy hosiery",2183,"380000","T-shirts, Polo Shirts",180,"1","Narayanganj Sadar",23.6159947,90.4838604,"Plot # A/2, A/3, BSCIC Industrial Estate,Enayet Nagar,Fatullah,Narayanganj",1995,0,0,0,1
"need dresses pvt ltd",2442,"220000","T-Shirts, Pants, Jogging, suites,",150,"0.5","Kotwali",22.3408722,91.829662,"1113/1140, Enayet Bazar Road,Chittagong",1996,0,0,0,1
"need fashions wear and textile ltd",994,"200000",NA,140,"0","Kotwali",22.3408722,91.829662,"1112/1140, Enayet Bazar Road,Chittagong",1991,0,0,1,1
"needs fashions pvt ltd",1393,"48000","Shirts, Blouses",120,"0","Mirpur",23.7840318,90.3528093,"124-125, Darus Salam(5th floor),Mirpur Road,Dhaka",1993,0,0,0,1
"neox garments ltd",320,"60000","Overalls, Skirts",200,"0","Halishahar",22.3450494,91.7793016,"Halishahar Bus Stand,""A"" Block,Halishahar,Chittagong",1985,0,0,1,1
