"name","bgmea_num","capacity","product_type","machine","fac_type","upazila","Latitude","Longitude","fac_ad","date_est","machine_pred","predicted_date","exist91","exist01"
"a j fashions ltd",3236,"50000","padding jackets, cargo pants, long pants",273,"0",NA,23.7936,90.38822,"234/4, kachukhet, dhaka cantonment",2000,0,0,0,1
"akm knit wear ltd",3420,"235000","trousers, pants, rumpers",1050,"0",NA,23.79321,90.27133,"14, gedda, conpara, ulail dhaka savar",2001,0,0,0,1
"aboni knit wear ltd",3498,NA,"NA",69,"1",NA,23.79864,90.26803,"160-171, tetulgora, hemayetpur dhaka savar",2001,0,0,0,1
"adeeba apparels ltd",3354,"90000","shirts, pants, trousers",186,"0",NA,23.7936,90.38822,"234/4, kachukhet, dhaka cantonment",2001,0,0,0,1
"alaku apparel ltd",3270,"204000","t-shirts, long plants, boxer shorts",152,"1",NA,23.77776,90.40574,"gp-ga- 185/a, school road, dhaka mohakhali",2000,0,0,0,1
"aftex ltd ",3288,"57200","t-shirts, polo shirts, pants",120,"0.5",NA,23.68947,90.48412,"168, goodnyle, narayanganj siddirgonj",2001,0,0,0,1
"agrani sweaters ltd",3493,"45000","sweaters",220,"1",NA,23.7822,90.35954,"12, south kallayanpur, dhaka mirpur",2001,0,0,0,1
"ais sweater ltd",3431,"50000","sweaters, cardigans, pullovers,",200,"1",NA,24.0261018,90.2757594,"plot # 356, shafipur, national university gazipur",2001,0,0,0,1
"akbar apparels ltd",3395,"1200000","t-shirts, polo shirts, tank tops",38,"1",NA,24.407929,90.3866074,"kasorghar, mymensingh valuka",2001,0,0,0,1
"akh fashions ltd",3253,"120000","shirts, blouses, denim",185,"0",NA,23.79864,90.26803,"133/134, hamayetpur, dhaka savar",2000,0,0,0,1
"amena pvt ltd",3271,"60000","t-shirt, long shirts, swimming",480,"0",NA,23.86342,90.3874,"abdul latif market, road # 9/c, ahalia, sector # 6 dhaka uttara",2000,0,0,0,1
"amex knitting and dyeing indsltd",3255,"250000","t-shirts, polo shirts, sweat shirts",200,"1",NA,23.72628,90.41589,"plot # 19, road # 13, rajuk shampur, kadamtoly dhaka old dhaka",2000,0,0,0,1
"amity design ltd",3464,"585000","t-shirts, polo shirts, fleece items",190,"1",NA,23.83714,90.37481,"house # 7 & 9, road # 9, block -d, section # 11 dhaka mirpur",2001,0,0,0,1
"annesha style ltd",3501,"150000","sweaters",825,"1",NA,23.89057,90.32197,"khehur bagan, baro ashulia dhaka savar",2001,0,0,0,1
"anupam sweater ltd",3316,"40000","pullovers, cardigans, sweaters",1300,"1",NA,23.9914869,90.2571863,"dakhin panishail, kashimpur gazipur joydevpur",2001,0,0,0,1
"anupom fashions weat lid",3245,"40000","jackets, overall, pants",154,"0",NA,23.79394,90.38813,"tamanna complex (3rd floor), cb-288, kachukhet dhaka cantonment",2000,0,0,0,1
"anzit apparels lid",3231,"238680","cardigans, jumpers",900,"1",NA,23.92364,90.28548,"south gazirchat, baipal, ashulia dhaka savar",2000,0,0,0,1
"apparel industry ltd",3403,NA,"NA",480.03007518797,"0",NA,23.79476,90.40095,"house # 82 (3rd floor), new air port road dhaka banani",2001,1,0,0,1
"appareis design ltd",3315,"120000","jackets, knit items",62,"1",NA,23.90104,90.40882,"b-24 (north) 3rd floor, bscic i/a gazipur tongi",2001,0,0,0,1
"arc sweaters l",3433,"50000","sweaters, pullovers, cardigans",950,"1",NA,23.9983527,90.2738901,"south panishail, kashimpur gazipur gazipur sadar",2001,0,0,0,1
"ardour apparels soursing ltd",3332,"50000","NA",320,"0",NA,23.80075,90.37896,"plot # m-4/2, section # 14 dhaka mirpur",2001,0,0,0,1
"arizona sweater ltd",3448,"270000","sweaters, pullovers, cardigans",2404,"1",NA,23.82531,90.37248,"17, sujat nagar, pallabi, section # 12 dhaka mirpur",2001,0,0,0,1
"armin sweatersbdltd",3278,"30000","sweaters, pullovers, cardigans",180,"1",NA,23.81033,90.41252,"plot # 1, kalma maddhopara, kalma dairy firm dhaka b. baria",2001,0,0,0,1
"asha ready wear pvt ltd",3449,NA,"shirts, ladies wears, children wears",91,"0",NA,23.80523,90.36954,"367/1, senpara parbata, section # 10 dhaka mirpur",2001,0,0,0,1
"azra enterprise ltd",3472,"7000","fleece jackets, t-shirts",131,"1",NA,23.78682,90.43035,"244, satarkul, north badda dhaka badda",2001,0,0,0,1
"bbangla garments lid",3341,"40000","shirts, jackets, pants",220,"0",NA,23.86949,90.39952,"plot # m/4/4, road # 7, section # 7 dhaka mirpur",2001,0,0,0,1
"bhstex ltd",3247,"150000","knit items",57,"1",NA,23.78742,90.35655,"238, ahmednagar, salemuddin market, paikpara dhaka mirpur",2000,0,0,0,1
"basic shirts ltd ",3473,"80000","shirts, ladies blouses, boy's shirts",271,"0",NA,23.91883,90.43274,"basic tower, majukhan, harbaid gazipur gazipur sadar",2001,0,0,0,1
"bengler fashions ltd",3242,NA,"shirts, jackets, pants",92,"0",NA,23.86949,90.39952,"plot # 1/4, road # 7, section # 7 dhaka mirpur",2000,0,0,0,1
"big zero apparels ltd",3374,"150000","trousers, tank tops",58,"1",NA,23.81789,90.36424,"plot # m-9/3, section # 7, dhaka mirpur",2001,0,0,0,1
"body fashions pvt ltd",3272,"115000","NA",370,"1",NA,23.9918367,90.3570198,"naojur, kodda gazipur joydevpur",2000,0,0,0,1
"bonny designers ltd",3306,"530000","jackets, ladies dresses, t-shirts",220,"1",NA,23.78408,90.43113,"226, uttar badda, dhaka badda",2001,0,0,0,1
"chittagong fashions millennium textile ltd",3251,"72000","shirts, knit items",200,"0",NA,23.7941,90.38816,"tamanna complex, cb-288, kachukhet dhaka cantonment",2000,0,0,0,1
"chong won ars sweaters ltd",3389,"320000","sweaters",170,"1",NA,23.76037,90.41893,"1, east rampura, dit road dhaka rampura",2001,0,0,0,1
"chowdhury associates ltd",3254,"1502083","t-shirts, polo shirts, tank tops",127,"1",NA,23.79163,90.37505,"1041, shewrapara, begum rokeya sarani dhaka mirpur",2000,0,0,0,1
"chowdhury knitwears lid",3368,"12000","knit items",500,"1",NA,23.9481,90.71074,"bscic i/e, narsingdi",2001,0,0,0,1
"classic fashions concept ltd",3324,"50400","shirts, kid's shirts, blouses",260,"0",NA,23.92199,90.3666,"62/2, sataish, primary school road gazipur tongi",2001,0,0,0,1
"cosmic sweaters ltd",3285,"92000","bouses, pullovers, cardigans",520,"1",NA,23.9504063,90.380132,"dagerchala, national university gazipur board bazar",2001,0,0,0,1
"cosmos sweaters ltd",3452,"155000","sweaters, cardigans, pullovers",1500,"1",NA,23.9890119,90.3818983,"dhaka road, chandana chowrasta gazipur gazipur sadar",2001,0,0,0,1
"crown fashions and sweater indltd",3440,"150000","sweaters, pullovers, cardigans",1180,"1",NA,23.9772783,90.3805947,"plot # 781-782, vogra gazipur joydevpur",2001,0,0,0,1
"dekko knitwears ltdunit-2",3294,"5e+05","t-shirts, polo shirts, kids wears",94,"1",NA,23.86949,90.39952,"plot # m/2-1, road # 7, section # 7 dhaka mirpur",2001,0,0,0,1
"diamond sweater industries ltd",3382,"30000","sweaters",235,"1",NA,23.79189,90.34954,"2nd colony, mazar road, dhaka mirpur",2001,0,0,0,1
"divine textile ltdunit-2",3393,NA,"knit garments",141,"1",NA,24.0478735,90.2379523,"chandra, gazipur kaliakoir",2001,0,0,0,1
"dmc apparels ltd",3323,"65000","shirt, skirts, maxi",187,"0",NA,23.91375,90.31011,"dewan idris road, zirabo, ashulia dhaka savar",2001,0,0,0,1
"dn sports ltd",3225,"520000","caps, hats",335,"0.5",NA,23.9504063,90.380132,"plot # 38, j.l. # 153, national university, gacha gazipur board bazar",2000,0,0,0,1
"esquire knit composite ltd",3283,NA,"knit garments",480.03007518797,"1",NA,23.7057,90.52171,"kanchpur, narayanganj sonargaon",2001,1,0,0,1
"fakir apparels ltd",3340,"1300000","t-shirts, polo shirts, trousers",835,"1",NA,23.62047,90.48032,"a-127-131, 135-138, 142-145, b-501-503, bscic hosiery shilpa nagari, shashangaon narayanganj fatullah",2001,0,0,0,1
" fashions asia ltd",3235,"2e+05","jogging suits, knit items",133,"1",NA,23.89641,90.40992,"holding # 4/2-a (4th & 5th floor), mouza # 135, gopalpur, monnu nagar gazipur tongi",2000,0,0,0,1
" fashions craft knit wear ltd",3397,"2e+05","knit items",110,"0.5",NA,23.93502,90.29461,"beron, zirabo, ashulia dhaka savar",2001,0,0,0,1
" fashions gears ltd",3230,"72000","jackets, trousers, t-shirts",772,"0.5",NA,23.9504063,90.380132,"jharna complex, soydana, malekerbari,national university gazipur board bazar",2000,0,0,0,1
" fashions mart ltd",3287,"36000","blouses, jackets, trousers",112,"0",NA,23.82235,90.36542,"plot # 1/1, 1/3, block - k, section # 1 dhaka mirpur",2001,0,0,0,1
"finestitch apparels ltd",3262,"40000","shirts, pants, skirts",100,"0",NA,23.9504063,90.380132,"plot # 98, chaydana, gazipur national university",2000,0,0,0,1
"flower fashions ltd",3350,"144000","jogging suits, trousers, vest",171,"0",NA,23.75787,90.41726,"1/5, hajipara, dit road dhaka rampura",2001,0,0,0,1
"fontina fashions ltd",3463,"85000","shirts, blouses, dresses",140,"0",NA,23.76389,90.42078,"97, dit road, dhaka rampura",2001,0,0,0,1
"fullcharm fashions knitters ltdu-2",3373,"90000","sweaters",350,"1",NA,23.91312,90.39582,"31/1, hossain market, dattapara gazipur tongi",2001,0,0,0,1
"garib and garib co ltdunit-2",3302,"144000","pullovers, cardigans",1662,"1",NA,23.9772783,90.3805947,"vogra, gazipur joydevpur",2001,0,0,0,1
"glory fashions ltd",3336,"96000","jackets, pants, bermuda",550,"0",NA,23.79437,90.40175,"house # 60 (1st floor), road # 4/a, old dohs dhaka banani",2001,0,0,0,1
"gms composite knitting indsltd",3425,"875000","t-shirts, pq polo , rib interlock",1000,"1",NA,23.970545,90.2947322,"shardaganj, gazipur kashimpur",2001,0,0,0,1
"hhgarments",3322,"83000","shirts, jackets, pants",52,"0",NA,23.77705,90.41638,"na, dhaka",2001,0,0,0,1
"hngarments ltd",3314,"155000","jackets, bib overalls, trousers",767,"0",NA,23.86514,90.39958,"kushol centre (7th floor), plot # 29, sector # 3, uttara c/a dhaka uttara",2001,0,0,0,1
"haitex export ltd",3281,"264000","knit items",79,"1",NA,23.82488,90.36931,"safurea khatun super market, section # 12 dhaka mirpur",2001,0,0,0,1
"ha-meem sportswear ltd",3279,"120000","jackets, overalls, trousers",234,"0",NA,23.75981,90.39132,"171, tejgoan i/a, dhaka tejgaon",2001,0,0,0,1
"hypoid lingeries ltd",3462,NA,"under garments",94,"0",NA,23.78342,90.35278,"124-125, darus salam road, section # 1 dhaka mirpur",2001,0,0,0,1
"intraco fashions ltd",3484,"1e+05","pants, overalls, trousers",600,"0",NA,23.87585,90.37954,"musafir bhaban (2nd, 3rd & 4th floor), kasai bari, sakander market dhaka uttara",2001,0,0,0,1
"intramex fashions ltd",3256,"1e+05","jackets, trousers, skirts",307,"0",NA,23.9991969,90.4089838,"laxmipura, chandona, gazipur joydevpur",2000,0,0,0,1
"jfsweaters ltd",3248,"60000","sweaters",50,"1",NA,24.015632,90.4469497,"harinchala, konabari gazipur joydevpur",2000,0,0,0,1
"jkknit composite ltd",3456,"490000","t-shirts, polo shirts, vest",801,"1",NA,23.77084,90.24829,"south dariapur, dhaka savar",2001,0,0,0,1
"jams fashions ltd",3313,"80000","jackets, pants, bermuda",197,"0",NA,23.82932,90.42154,"ekata plaza, b-28 khilkhet bazar, dhaka airport road",2001,0,0,0,1
"jams knitwear pvt ltd",3409,"84000","sweaters",501,"1",NA,23.69211,90.43306,"haji habibullah super market, 15-16, new jurain dhaka postagola",2001,0,0,0,1
"julfikar fashions ltd",3375,"144000","shirts, blouses, shorts",120,"0",NA,23.82006,90.36083,"plot # 27, holding # 1/a, milk vita road, section # 7 dhaka mirpur",2001,0,0,0,1
"k rapparels ltd",3317,"19700","shirts, fleece jackets, pants",135,"0",NA,23.9504112,90.3779433,"al-haj nurul islam shopping complex, baliara, national university gazipur rampura",2001,0,0,0,1
"karnaphuli knit wears ltd",3289,"1080000","jackets, t-shirts, under wears",80,"0.5",NA,23.75064,90.38721,"70, green road, fattah plaza dhaka pantha path",2001,0,0,0,1
"kashmilon sweaters ltd",3488,"35000","sweaters",357,"1",NA,23.79743,90.353,"1, darus salam road, dhaka mirpur",2001,0,0,0,1
"kaynat ltd",3481,"90000","jackets, trousers, skirts",135,"0",NA,23.82831,90.36071,"plot # 16, road # 13 (4th & 6th floor), section # 12, pallabi dhaka mirpur",2001,0,0,0,1
"kera fashions ltd",3417,"96000","shirts, jackets, pants",85,"0",NA,23.79708,90.35718,"3/2, shah ali bagh, section # 1 dhaka mirpur",2001,0,0,0,1
"lakhsma sweaters ltd",3265,"150000","sweaters, pullovers, cardigans",1319,"1",NA,23.87098,90.38379,"joy bangla sarak, khailkoir, barabari gazipur k.b. bazar",2000,0,0,0,1
"landmark fabricsltd",3474,"5e+05","t-shirts, polo shirts",255,"1",NA,23.8864,90.32865,"landmark complex, shadhur para, baro ashulia dhaka savar",2001,0,0,0,1
"liberty fashions wears ltd",3347,"5e+05","jackers, trousers, t-shirts",1040,"0.5",NA,23.9937669,90.2551098,"plot # 101, mousa-tenguri, zirani bazar dhaka savar",2001,0,0,0,1
"liberty knitwears ltd",3292,NA,"knit items",115,"1",NA,23.67331,90.47383,"pamarbagh, kutubpur, narayanganj fatullah",2001,0,0,0,1
"lyric industries pvt ltd",3305,"130000","jackets, shorts, jogging suits",350,"0",NA,23.76601,90.42176,"464, west rampura, mollah tower (7th-8th floor) dhaka rampura",2001,0,0,0,1
"mm knitwenr ltd",3468,"6e+05","knit items",171,"1",NA,24.0135104,90.3215376,"ambagh road, nilnagar gazipur konabari",2001,0,0,0,1
"mtsweaters ltd",3455,NA,"pullovers",214,"1",NA,23.9999322,90.4202176,"plot # 1703, gacha, gazipur gazipur sadar",2001,0,0,0,1
"mabtex wear ltd",3329,"40000","jackets, shorts, pants",120,"0.5",NA,23.76105,90.38924,"1241, east monipura para, dhaka mirpur",2001,0,0,0,1
"mahbub knit fashions ltd",3301,"90000","knit items, shorts",42,"0.5",NA,23.75111,90.41334,"476/a & b, dit road, dhaka malibagh",2001,0,0,0,1
"mas designers ltd",3388,"96000","jackets, overalls, shorts",184,"0",NA,23.86052,90.42428,"chairman market, dakhin knan dhaka uttara",2001,0,0,0,1
"maycs garments ltd",3297,"150000","jackets, pants, trousers",408,"0",NA,23.80615,90.36811,"house # 9, road # 1, block - kha, section # 6 dhaka mirpur",2001,0,0,0,1
"meem dresses pvt ltd",3290,"12000","shirts, jackets, vest",250,"0.5",NA,23.88227,90.3056,"kumkumari, ashulia dhaka savar",2001,0,0,0,1
"meem fashions ltd",3344,"40000","pants, trousers, skirts",200,"0",NA,23.74653,90.41273,"a. m. plaza (10th floor), 76, dit road dhaka malibagh",2001,0,0,0,1
"meridian fashions ltd",3423,"90000","shirts, jackets, trousers",161,"0",NA,23.7639,90.42079,"339, d.i.t road, dhaka rampura",2001,0,0,0,1
"millenium dresses ltd",3482,"60000","shirts, pants, jackets",150,"0",NA,23.81631,90.42109,"ka-63/1, kuril chowrasta, dhaka badda",2001,0,0,0,1
"millennium apparels ltd",3381,"60000","jackets, overalls, pants",215,"0",NA,23.90672,90.35726,"masimpur cooperative market society, plot # 37 (4-7th fl), block - b gazipur tongi",2001,0,0,0,1
"mohammadi fashions 2000 ltd",3232,"60000","dress pants, denim pants, fleece sweat",312,"0",NA,23.79864,90.26803,"36, kalashur, hemayetpur dhaka savar",2000,0,0,0,1
"montex fabrics ltd",3407,"160000","t-shirts, polo shirts, jackets",157,"1",NA,23.9887791,90.3209478,"nayapara, gazipur kashimpur",2001,0,0,0,1
"muazuddin textile ltd",3424,"215716","knit items, shorts",104,"1",NA,24.0112973,90.3219053,"plot # b-8 & 9, bscic i/a, gazipur konabari",2001,0,0,0,1
"nahiyan fashions ltd",3268,"140000","t-shirts, fleece jackets, polo shirts",275,"0.5",NA,23.83188,90.41782,"ka 6/1, khilkhet tanpara, joarsahara, nikunja-2 dhaka airport road",2000,0,0,0,1
"nassa fashions ltd",3453,"50000","shirts, jackets, trousers",170,"0",NA,23.82617,90.25373,"04, tayabpur, nischintopur, ashulia dhaka savar",2001,0,0,0,1
"new line clothings ltd",3427,"60000","shirts",190,"0",NA,24.0135293,90.3014199,"plot # 1945, kouchuakuri, kamrangachala, mouchak gazipur kaliakoir",2001,0,0,0,1
"new madina fashions ltd",3437,"208000","knit item",132,"1",NA,23.62419,90.47973,"a-132, bscic i/a, narayanganj",2001,0,0,0,1
"newtex knit fashions ltd",3383,"456250","NA",252,"1",NA,24.0964809,90.1522782,"gorai industrial area, tangail mirzapur",2001,0,0,0,1
"nexus design ltd",3478,"145600","NA",800,"1",NA,23.9784938,90.3757775,"nexus tower, chowdhury bari road, vogra gazipur joydevpur",2001,0,0,0,1
"nibir fashions wear ltd",3496,"240000","NA",425,"0",NA,23.7769,90.42675,"972, east badda, post office road dhaka badda",2001,0,0,0,1
"nightingale fashions ltd",3260,"5e+05","NA",500,"1",NA,24.0112973,90.3219053,"plot # a75-78, bscic inds. estate, gazipur konabari",2000,0,0,0,1
"north south apparels ltd",3330,"150000","knit items, sweat shirts, fleece jackets",130,"1",NA,23.86138,90.39272,"jashimuddin road, sector # 3 dhaka uttara",2001,0,0,0,1
"oasis fashions ltd",3438,"1e+05","sweaters, cardigans, pullovers",600,"1",NA,23.93571,90.36898,"591, gacha, gazipur board bazar",2001,0,0,0,1
"omi apparels ltd",3312,"95000","jackets, pants, shorts",230,"0",NA,23.74653,90.41273,"am plaza (6th & 7th floor), 76, dit road dhaka malibagh",2001,0,0,0,1
"opex industries ltd",3244,"2e+05","shirts, blouses, jackets",308,"0",NA,23.7057,90.52171,"kanchpur, narayanganj sonargaon",2000,0,0,0,1
"outwear fashions ltd",3328,"1e+05","jackets, windsuits, trousers",539,"0",NA,23.79155,90.37534,"965, shewrapara, rokeya sharani dhaka mirpur",2001,0,0,0,1
"p and r fashions ltd",3239,"1e+05","jackets, knit items",67,"1",NA,23.81675,90.36683,"plot # 9, road # 4, section # 12, pallabi dhaka mirpur",2000,0,0,0,1
"panwin garments ltd",3308,"28000","jackets, trousers, pants",310,"0",NA,23.79609,90.35208,"78/a, south bishil (4th & 7th floor), dhaka mirpur-1",2001,0,0,0,1
"parade international ltd",3391,"30000","shirts, children wears, jackets",200,"0",NA,23.73861,90.38809,"118, elephant road, nur plaza dhaka elephant road",2001,0,0,0,1
"paragon sweaters ltd",3327,"25000","sweaters, cardigans, pullovers",350,"1",NA,23.75311,90.41506,"70/b, malibagh chowdhury para(3rd fl), dhaka malibagh",2001,0,0,0,1
"parkstar apparel ltd",3221,"60000","skirts, jackets, pants",172,"0",NA,23.953676,90.3779667,"kunia, gazipur sadar gazipur k.b. bazar",2000,0,0,0,1
"pearls and pouce ltd",3444,"150000","trousers, shorts, knit items",85,"1",NA,24.0017478,90.2614174,"sibrampur, zirani bazar, gazipur kashimpur",2001,0,0,0,1
"peerage knitwear ltd",3404,"80000","jackets, trousers, jackets",280,"0",NA,23.79584,90.35369,"2/a, darus salam road(4th - 7th fl), section # 1 dhaka mirpur",2001,0,0,0,1
"pioneer sweaters ltd",3490,"470000","sweaters, pullovers, cardigans",5659,"1",NA,23.62939,90.47573,"panchabati, narayanganj fatullah",2001,0,0,0,1
"prophecy apparels pvt ltd",3399,"26000","t-shirts, polo shirts, sleep wears",150,"1",NA,23.70729,90.40982,"rahmatullah mansion, 5/1/1, simpson road, sadarghat dhaka old dhaka",2001,0,0,0,1
"radiance knitwears ltd",3385,"6e+05","t-shirts, polo shirts",442,"1",NA,23.9102,90.3172,"zirabo, dhaka savar",2001,0,0,0,1
"raina fashions ",3240,"30000","jackets, ladies dresses, trousers",120,"0",NA,23.79708,90.35718,"9/1, shah ali bagh, section # 1 dhaka mirpur",2000,0,0,0,1
"reaz export apparels ltd",3421,"160000","blouses, shirts, shorts",355,"0",NA,23.90892,90.37505,"north khailkoir, k.b. bazar gazipur",2001,0,0,0,1
"recent sweaters ltdunit-3",3432,"2e+05","sweaters",1064,"1",NA,24.0290157,90.3862468,"salna, gazipur salna",2001,0,0,0,1
"replica creations ltd",3296,NA,"pants",480.03007518797,"0",NA,23.81565,90.36493,"house # 9, road # 1, section # 6 dhaka mirpur",2001,1,0,0,1
"rime apparels ltd",3274,"78000","shirts, jackets, trousers",110,"0",NA,23.81854,90.36367,"plot # 4, road # 1, block - d, section # 11 dhaka mirpur",2000,0,0,0,1
"rs knit composite ltd",3445,"260000","t-shirts, polo shirts, sweat shirts",135,"0.5",NA,24.1154143,90.3248248,"vannara, mouchak gazipur kaliakoir",2001,0,0,0,1
"spsapparels",3415,"1e+05","shirts, jackets, trousers",68,"0",NA,23.74428,90.41373,"mouchak tower(2nd floor), 83/b, new circular road dhaka malibagh",2001,0,0,0,1
"sabarang fashions ltd",3499,"62500","ladies blouses, skirts, maxi",228,"0",NA,23.80891,90.35759,"plot # 85-88, block - k, rupnagar, section # 2 dhaka mirpur",2001,0,0,0,1
"sas fashions wear ltd",3222,"150000","shirts, pants, tank tops",475,"0",NA,23.70864,90.41537,"1, dit market building (2nd floor), dhaka kawran bazar",2000,0,0,0,1
"sea moss knitwear ltd",3457,"650000","polar fleece jackets, basic t-shirts, polo shirts",131,"1",NA,23.78455,90.37815,"241, rokeya sarani, west shewrapara dhaka mirpur",2001,0,0,0,1
"seha fashions bdltd",3435,"41600","jackets, overalls, trousers",195,"0",NA,23.9999405,90.4202724,"choydana, gazipur joydevpur",2001,0,0,0,1
"shade fashions ltd",3291,"1e+05","shirts, shorts, jackets",241,"0",NA,23.81033,90.41252,"riom complex, 157, berun (jamghara) dhaka savar",2001,0,0,0,1
"shangu tex ltd",3333,"144000","shirts, blouses, pants",205,"0",NA,23.88839,90.29666,"dushaid, ashulia dhaka savar",2001,0,0,0,1
"shb garments ltd",3320,"60000","knit items",145,"1",NA,23.75261,90.41535,"406/b, khilgaon chowdhury para, dhaka malibagh",2001,0,0,0,1
"shimrail fashions ltd",3252,NA,"shirts, knit items",480.03007518797,"1",NA,23.70443,90.51043,"shimrail, narayanganj siddirganj",2000,1,0,0,1
"sinha knitting ltd",3250,NA,"NA",149,"1",NA,23.72229,90.50806,"tarabo, narayanganj rupganj",2000,0,0,0,1
"skyline apparels ltd",3282,"60000","shirts, ladies shirts, boy's shirts",151,"0",NA,23.92666,90.26435,"palashban, ashulia dhaka savar",2001,0,0,0,1
"sleek knit garments ltd",3293,NA,"knit items",74,"1",NA,23.78383,90.56302,"vulta, narayanganj rupganj",2001,0,0,0,1
"si-knit wear ltd",3280,NA,"ladies dress, knit items, jogging suits",69,"1",NA,23.86949,90.39952,"plot # 4/1, road # 7, section # 7 dhaka mirpur",2001,0,0,0,1
"so nice garments pvt ltd",3300,"1e+06","long pants, bermuda, skirts",280,"0",NA,24.7547756,90.5683399,"house # 20 (1st & 2nd fl), block-b, gouripur, ward-5, shahid minnat ali sarak, ashula dhaka savar",2001,0,0,0,1
"southern designers ltd",3386,"30000","shirts, t-shirts, pants",543,"0.5",NA,23.91297,90.3082,"zirabo, tayebpur, ashulia dhaka savar",2001,0,0,0,1
"sp fashions ltd",3267,"417000","t-shirts, shorts, sweat shirts",154,"1",NA,24.1568465,90.4255187,"baniarchala, member bari gazipur gazipur sadar",2000,0,0,0,1
"sq selsius ltd",3263,"3e+05","sweaters, cardigans, pullovers",5418,"1",NA,24.2206888,90.4122717,"beraiderchala, maona, keowa gazipur sreepur",2000,0,0,0,1
"star sweaters ltd",3342,"240000","pullovers, sweaters",1500,"1",NA,23.6241,90.49866,"74/3, new chasara, narayanganj jamtoal",2001,0,0,0,1
"step three apparels ltd",3363,"240000","jackets, pants, polo shirts",193,"0.5",NA,23.77981,90.42371,"lutfan tower (6th floor), e-13, middle badda dhaka badda",2001,0,0,0,1
"stylex industries ltd",3321,"250000","jackets, trousers, t-shirts",230,"0",NA,24.0112973,90.3219053,"664, konabari plaza, (opposite depz) dhaka savar",2001,0,0,0,1
"supershine apparels ltd",3266,"70000","jackets, trousers, shorts",110,"0.5",NA,23.75879,90.41821,"1/1, dit road, hazi para dhaka rampura",2000,0,0,0,1
"sydney sweaters ltd",3494,"80000","sweaters",548,"1",NA,23.92099,90.39009,"shaheen complex, 23 shataish road, gazipura gazipur tongi",2001,0,0,0,1
"tammam design ltd",3497,NA,"NA",480.03007518797,"0",NA,23.9102,90.3172,"42, taiyabpur (pukurpar), zirabo dhaka savar",2001,1,0,0,1
"tex asia ltd",3469,"90000","t-shirts, polo shirts",38,"1",NA,23.62417,90.48222,"plot # b-16, bscic hosiery i/a narayanganj siddirgonj",2001,0,0,0,1
"the bottom collections ltd",3401,"2e+05","denim, trousers, jogging suits",470,"0",NA,23.90104,90.40882,"sena kalyan comm. complex (6th floor), plot # 9, block-f gazipur tongi",2001,0,0,0,1
"the delta apparels ltd",3071,NA,"knit items",100,"1",NA,24.0112973,90.3219053,"south jarun, kashimpur gazipur konabari",2000,0,0,0,1
"the shanin clothing ltd",3299,"130000","shirts, girls shirts, boy's shirts",255,"0",NA,23.71818,90.38661,"33, lalit mohandas lane, rdr complex dhaka lalbagh",2001,0,0,0,1
"topstar dresses ltd",3295,"75000","jackets, polo shirts",422,"0.5",NA,24.0590903,90.222933,"telerchala, mouchak, gazipur kaliakoir",2001,0,0,0,1
"tropical knitex ltd",3362,"625000","t-shirts, polo shirts, sweat shorts",280,"1",NA,24.0694528,90.2221213,"chandona, gazipur kaliakoir",2001,0,0,0,1
"trust trouser ltd",3400,"810000","jackets, track suits, trousers",400,"0",NA,23.82531,90.37248,"sultan mansion (4th floor), 3, sujat nagar, section # 12 dhaka mirpur",2001,0,0,0,1
"tusuka fashions ltd",3376,"208000","denim pants, boy's trousers, men's 5 pkt",357,"0",NA,23.90104,90.40882,"plot # 10, block - b, tongi i/a gazipur tongi",2001,0,0,0,1
"union knitting and dyeing ltd",3422,"5e+05","shorts, polo shirts",106,"1",NA,23.81033,90.41252,"42 & 44, baro rangamatia, ziroba dhaka savar",2001,0,0,0,1
"vaajon appareis ltd",3286,"2e+05","t-shirts, polo shirts, tank tops",70,"0.5",NA,24.0112973,90.3219053,"plot # b25 - 28, bscic i/e gazipur konabari",2001,0,0,0,1
"walligan knit wears ltd",3264,NA,"knit items",150,"1",NA,23.76817,90.40374,"271, tejgaon i/a, dhaka tejgaon",2000,0,0,0,1
"wool-tex sweaters ltd",3458,"40000","sweaters",258,"1",NA,23.79163,90.37505,"923, sewrapara, rokeya sarani dhaka mirpur",2001,0,0,0,1
"york sports wear ltd",3405,"125000","shirts, ladies shirts, children wears",120,"0",NA,23.81312,90.36636,"9/a, 1st colony, mirpur road dhaka mirpur",2001,0,0,0,1
"z-3 composite knitwear ltd",3429,"60000","t-shirts, shorts, lycra rib",84,"1",NA,23.91641,90.29771,"kathgara, ashulia dhaka savar",2001,0,0,0,1
"z-3 dresses ltd",3335,"60000","shirts, shorts",122,"0",NA,23.81789,90.36424,"m-2, section # 7, mirpur r/a dhaka mirpur",2001,0,0,0,1
"zam zam knit wears ltd",3450,NA,"t-shirts, trousers, night wears",97,"1",NA,23.81565,90.36493,"plot # 9, road # 1, block - k, section # 6 dhaka mirpur",2001,0,0,0,1
"zisas fashions ltd",3334,"25500","jackets, pants, swim trunks",175,"0",NA,23.75777,90.41789,"66, haji para, dit road dhaka rampura",2001,0,0,0,1
"amsweaters ltd",3410,"30000","sweaters",240,"1",NA,22.32956,91.81249,"tayabia market, 4068/4522, arakan road chittagong",2001,0,0,0,1
"allahma fashions ltd",3398,"40000","jackets, shirts, pants",119,"0",NA,22.37036,91.84531,"khawza complex, 1706/d, arakan road chittagong",2001,0,0,0,1
